Time_seq	Pond	Sonde	Treatment	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
2	B2P4	Sonde08	NF	-0.01	38.42	-0.63	10.72	6.58	1.45	52.57	10.88
3	B2P4	Sonde08	NF	-0.03	38.25	-0.63	10.85	6.6	1.44	52.74	10.6
4	B2P4	Sonde08	NF	0.01	38.59	-0.63	10.86	6.6	1.34	52.56	11.07
5	B2P4	Sonde08	NF	0.09	38.15	-0.63	10.81	6.61	1.42	52.44	10.73
0	B3P0	Sonde11	NF	-0.33	64.66	-0.56		6.66	0.1	81.13	14.37
1	B3P0	Sonde11	NF	-0.3	64.41	-0.56		6.67	0.13	81.2	14.17
2	B3P0	Sonde11	NF	-0.29	61.55	-0.52		6.63	0.31	80.79	12.53
3	B3P0	Sonde11	NF	-0.3	61.11	-0.52		6.65	0.33	80.78	12.25
4	B3P0	Sonde11	NF	-0.26	61.76	-0.52		6.66	0.28	80.76	12.69
5	B3P0	Sonde11	NF	-0.2	60.5	-0.5		6.65	0.37	80.43	12.04
0	B3P1	Sonde14	D	2.07	62.97	-0.34	9.34	7.42	2.31	79.19	14.28
1	B3P1	Sonde14	D	2.55	62.74	-0.3	9.16	7.34	2.23	78.91	14.29
2	B3P1	Sonde14	D	2.73	57.45	-0.25	9.15	6.92	2.54	77.65	11.34
3	B3P1	Sonde14	D	2.28	56.99	-0.26	9.68	7.1	2.57	77.88	10.96
4	B3P1	Sonde14	D	2.71	57.96	-0.26	9.72	7.17	2.48	77.87	11.63
5	B3P1	Sonde14	D	3.6	56.81	-0.18	9.54	7.02	2.55	77.62	10.96
0	B3P2	Sonde13	D	0.87	78.38	-0.28	10.27	6.73	9.38	98.24	14.41
1	B3P2	Sonde13	D	1.06	78.19	-0.27	10.23	6.77	9.01	97.84	14.5
2	B3P2	Sonde13	D	1.29	72.96	-0.23	10.21	6.62	9.35	96.31	12.3
3	B3P2	Sonde13	D	1.14	72.22	-0.23	10.53	6.69	9.41	96.27	11.92
4	B3P2	Sonde13	D	1.31	72.9	-0.22	10.59	6.73	9.17	96.11	12.37
5	B3P2	Sonde13	D	1.61	71.44	-0.18	10.58	6.7	9.29	95.63	11.76
0	B3P3	Sonde10	S	0.46	36.2	-0.99	10.82	7.06	1.38	46.07	13.8
1	B3P3	Sonde10	S	0.57	36.07	-0.96	10.87	7.16	1.4	46.16	13.56
2	B3P3	Sonde10	S	0.74	34.61	-0.91	10.63	6.94	1.62	45.71	12.26
3	B3P3	Sonde10	S	0.62	34.3	-0.92	10.91	7.02	1.52	45.76	11.91
4	B3P3	Sonde10	S	0.87	34.86	-0.91	11.07	7.1	1.38	45.79	12.52
5	B3P3	Sonde10	S	1.28	34.42	-0.85	10.96	7	1.57	45.7	12.09
0	ERL122	Sonde12	NF	-0.17	35.78	-0.32	10.1	6.42	0.62	44.59	14.65
1	ERL122	Sonde12	NF	-0.14	34.81	-0.31	10.12	6.42	0.61	43.71	14.33
2	ERL122	Sonde12	NF	-0.12	31.64	-0.32	10.24	6.38	0.76	41.38	12.69
3	ERL122	Sonde12	NF	-0.13	32.31	-0.32	10.42	6.42	0.82	42.5	12.45
4	ERL122	Sonde12	NF	-0.08	32.53	-0.33	10.42	6.41	0.75	42.1	13.09
5	ERL122	Sonde12	NF	0.03	32.24	-0.32	10.41	6.4	0.87	42.26	12.58
0	ERL152	Sonde15	NF	-0.28	90.89	-0.76	11.14	9.77	2.91	113.1	14.72
1	ERL152	Sonde15	NF	-0.17	91.86	-0.74	11.63	9.89	2.72	113.75	14.91
2	ERL152	Sonde15	NF	-0.1	87.2	-0.72	10.65	9.81	3.15	112.3	13.3
3	ERL152	Sonde15	NF	-0.24	86.27	-0.73	11.3	9.87	3.03	112.33	12.83
4	ERL152	Sonde15	NF	-0.16	87.9	-0.73	11.61	9.92	2.87	112.63	13.5
5	ERL152	Sonde15	NF	-0.13	87.25	-0.7	11.43	9.91	2.84	112.28	13.33
0	ERL85	Sonde07	NF	-0.51	133.03	-2.33	12.12	9.14	-0.13	164.34	15.02
1	ERL85	Sonde07	NF	-0.5	131.85	-2.31	12.1	9.17	-0.11	163.81	14.78
2	ERL85	Sonde07	NF	-0.49	127.33	-2.21	10.98	9.07	-0.03	162.77	13.59
3	ERL85	Sonde07	NF	-0.5	126.35	-2.21	11.18	9.09	-0.05	162.11	13.44
4	ERL85	Sonde07	NF	-0.5	126.97	-2.23	11.71	9.16	-0.07	161.5	13.8
5	ERL85	Sonde07	NF	-0.46	124.36	-2.2	11.49	9.13	-0.02	159.82	13.42
