Time_seq	Hour	Pond	Treatment	Chlorophyll_RFU	Cond_uScm	BGAPC_RFU	ODO_mgL	pH	fDOM_RFU	SpCond_uScm	Temp_C
1	12	B1P1	S	0.34	39.8	-1.42	10.44	7.24	2.99	50.3	14.06
1	13	B1P1	S	0.31	39.88	-1.42	10.49	7.28	2.95	50.3	14.16
1	14	B1P1	S	0.34	39.9	-1.43	10.51	7.3	2.92	50.26	14.22
1	15	B1P1	S	0.31	39.82	-1.42	10.51	7.3	2.98	50.2	14.13
1	16	B1P1	S	0.3	39.63	-1.41	10.48	7.26	3.03	50.2	13.99
1	17	B1P1	S	0.31	39.51	-1.42	10.45	7.24	3.1	50.2	13.86
1	18	B1P1	S	0.31	39.35	-1.41	10.42	7.2	3.14	50.11	13.73
1	19	B1P1	S	0.27	39.21	-1.41	10.39	7.17	3.17	50.1	13.61
2	20	B1P1	S	0.33	39.09	-1.4	10.37	7.16	3.19	50.1	13.49
2	21	B1P1	S	0.32	38.91	-1.38	10.34	7.13	3.22	50.02	13.36
2	22	B1P1	S	0.31	38.71	-1.38	10.29	7.09	3.25	49.99	13.21
2	23	B1P1	S	0.32	38.55	-1.38	10.24	7.05	3.3	49.9	13.05
2	0	B1P1	S	0.33	38.39	-1.37	10.19	7.02	3.33	49.9	12.91
2	1	B1P1	S	0.31	38.25	-1.38	10.15	6.99	3.36	49.88	12.79
2	2	B1P1	S	0.29	38.06	-1.38	10.12	6.94	3.39	49.8	12.64
2	3	B1P1	S	0.33	37.93	-1.37	10.09	6.92	3.42	49.8	12.52
2	4	B1P1	S	0.31	37.8	-1.37	10.07	6.9	3.44	49.8	12.41
2	5	B1P1	S	0.28	37.71	-1.38	10.05	6.89	3.45	49.73	12.33
2	6	B1P1	S	0.29	37.61	-1.39	10.05	6.88	3.46	49.7	12.25
2	7	B1P1	S	0.31	37.54	-1.37	10.06	6.88	3.47	49.7	12.18
2	8	B1P1	S	0.31	37.5	-1.38	10.07	6.88	3.47	49.7	12.13
2	9	B1P1	S	0.33	37.5	-1.37	10.1	6.89	3.47	49.7	12.11
2	10	B1P1	S	0.36	37.5	-1.37	10.15	6.92	3.44	49.7	12.11
2	11	B1P1	S	0.46	37.5	-1.36	10.18	6.93	3.43	49.69	12.11
2	12	B1P1	S	0.45	37.5	-1.36	10.24	6.96	3.39	49.6	12.16
2	13	B1P1	S	0.42	37.5	-1.36	10.3	6.98	3.37	49.6	12.19
2	14	B1P1	S	0.44	37.5	-1.36	10.4	7.02	3.32	49.6	12.26
2	15	B1P1	S	0.49	37.59	-1.35	10.45	7.04	3.29	49.6	12.29
2	16	B1P1	S	0.44	37.6	-1.36	10.5	7.07	3.27	49.6	12.3
2	17	B1P1	S	0.43	37.6	-1.37	10.53	7.09	3.27	49.6	12.3
2	18	B1P1	S	0.43	37.6	-1.36	10.56	7.11	3.26	49.6	12.3
2	19	B1P1	S	0.42	37.6	-1.36	10.59	7.13	3.25	49.61	12.28
3	20	B1P1	S	0.44	37.6	-1.36	10.6	7.14	3.24	49.69	12.26
3	21	B1P1	S	0.52	37.52	-1.34	10.61	7.14	3.25	49.7	12.22
3	22	B1P1	S	0.53	37.5	-1.34	10.6	7.14	3.27	49.7	12.18
3	23	B1P1	S	0.56	37.5	-1.32	10.58	7.11	3.29	49.7	12.12
3	0	B1P1	S	0.55	37.43	-1.32	10.56	7.1	3.31	49.7	12.08
3	1	B1P1	S	0.51	37.4	-1.33	10.52	7.08	3.33	49.7	12.03
3	2	B1P1	S	0.54	37.39	-1.32	10.48	7.06	3.36	49.75	11.96
3	3	B1P1	S	0.49	37.3	-1.33	10.44	7.04	3.38	49.8	11.9
3	4	B1P1	S	0.52	37.3	-1.32	10.42	7.02	3.39	49.79	11.87
3	5	B1P1	S	0.46	37.2	-1.35	10.36	6.99	3.42	49.73	11.83
3	6	B1P1	S	0.39	37.2	-1.35	10.38	7	3.41	49.7	11.82
3	7	B1P1	S	0.41	37.2	-1.35	10.41	7.02	3.39	49.7	11.82
3	8	B1P1	S	0.35	37.2	-1.36	10.45	7.04	3.35	49.7	11.83
3	9	B1P1	S	0.31	37.26	-1.38	10.49	7.07	3.31	49.7	11.91
3	10	B1P1	S	0.42	37.35	-1.34	10.53	7.1	3.29	49.7	11.98
3	11	B1P1	S	0.44	37.42	-1.35	10.58	7.11	3.25	49.7	12.08
3	12	B1P1	S	0.09	37.59	-1.4	10.65	7.15	3.17	49.7	12.24
3	13	B1P1	S	0.1	37.83	-1.41	10.68	7.16	3.12	49.72	12.48
3	14	B1P1	S	0.23	38.1	-1.39	10.74	7.21	3.04	49.72	12.74
3	15	B1P1	S	0.04	38.07	-1.41	10.78	7.25	3.06	49.7	12.69
3	16	B1P1	S	0.16	38.18	-1.4	10.82	7.3	3	49.7	12.83
3	17	B1P1	S	0.23	38.22	-1.39	10.84	7.32	3.02	49.7	12.84
3	18	B1P1	S	0.38	38.29	-1.37	10.87	7.37	2.98	49.7	12.96
3	19	B1P1	S	0.42	38.39	-1.37	10.9	7.4	2.98	49.7	12.97
4	20	B1P1	S	0.35	38.3	-1.37	10.91	7.42	3	49.72	12.91
4	21	B1P1	S	0.56	38.3	-1.34	10.9	7.4	3.02	49.79	12.91
4	22	B1P1	S	0.55	38.3	-1.35	10.88	7.37	3.01	49.8	12.96
4	23	B1P1	S	0.54	38.23	-1.34	10.88	7.38	3.04	49.74	12.87
4	0	B1P1	S	0.64	38.24	-1.32	10.85	7.34	3.05	49.7	12.9
4	1	B1P1	S	0.57	38.27	-1.34	10.87	7.34	3.05	49.71	12.92
4	2	B1P1	S	0.71	38.3	-1.32	10.83	7.3	3.08	49.8	12.89
4	3	B1P1	S	0.53	38.3	-1.34	10.83	7.29	3.08	49.8	12.91
4	4	B1P1	S	0.51	38.31	-1.36	10.82	7.28	3.09	49.79	12.93
4	5	B1P1	S	0.77	38.35	-1.32	10.76	7.25	3.09	49.81	12.93
4	6	B1P1	S	0.73	38.35	-1.33	10.74	7.24	3.11	49.82	12.92
4	7	B1P1	S	0.86	38.31	-1.31	10.73	7.22	3.09	49.8	12.93
4	8	B1P1	S	0.78	38.31	-1.32	10.62	7.17	3.09	49.84	12.94
4	9	B1P1	S	0.62	38.31	-1.35	10.57	7.16	3.01	49.75	12.95
4	10	B1P1	S	0.74	38.17	-1.33	10.62	7.18	3.02	49.7	12.88
4	11	B1P1	S	0.71	38.09	-1.33	10.63	7.18	3.04	49.7	12.79
4	12	B1P1	S	0.69	38	-1.34	10.64	7.19	3.04	49.61	12.73
4	13	B1P1	S	0.74	37.9	-1.33	10.66	7.2	3.04	49.6	12.68
4	14	B1P1	S	0.73	37.9	-1.32	10.68	7.21	3.04	49.6	12.66
4	15	B1P1	S	0.74	37.9	-1.32	10.7	7.23	3.04	49.6	12.63
4	16	B1P1	S	0.75	37.9	-1.33	10.72	7.24	3.05	49.6	12.61
4	17	B1P1	S	0.8	37.81	-1.33	10.74	7.25	3.06	49.6	12.6
4	18	B1P1	S	0.8	37.8	-1.32	10.74	7.25	3.06	49.6	12.58
4	19	B1P1	S	0.75	37.8	-1.31	10.72	7.24	3.08	49.6	12.54
5	20	B1P1	S	0.82	37.78	-1.31	10.71	7.23	3.11	49.6	12.52
5	21	B1P1	S	0.91	37.7	-1.28	10.68	7.2	3.14	49.6	12.48
5	22	B1P1	S	0.94	37.69	-1.27	10.65	7.17	3.15	49.6	12.44
5	23	B1P1	S	0.91	37.63	-1.28	10.62	7.14	3.18	49.54	12.4
5	0	B1P1	S	0.92	37.56	-1.28	10.57	7.1	3.2	49.5	12.36
5	1	B1P1	S	0.83	37.5	-1.28	10.54	7.08	3.23	49.49	12.31
5	2	B1P1	S	0.96	37.42	-1.26	10.51	7.06	3.24	49.46	12.29
0	20	B2P2	S	0.69	45.82	-0.26	11.15	7.62	0.73	57.4	14.43
0	21	B2P2	S	0.82	45.59	-0.23	11.2	7.69	0.76	57.4	14.27
0	22	B2P2	S	0.86	45.72	-0.23	11.19	7.69	0.75	57.4	14.37
0	23	B2P2	S	1.01	45.79	-0.21	11.22	7.71	0.76	57.4	14.43
0		B2P2	S	0.77	45.7	-0.19	11.32	7.8	0.82		14.38
0	0	B2P2	S	1.06	45.73	-0.22	11.13	7.64	0.77	57.4	14.36
0	1	B2P2	S	1.11	45.71	-0.19	11.05	7.54	0.76	57.4	14.33
0	2	B2P2	S	1.1	45.61	-0.2	11.03	7.52	0.78	57.4	14.24
0	3	B2P2	S	1.16	45.53	-0.19	10.99	7.48	0.78	57.4	14.16
0	4	B2P2	S	1.15	45.46	-0.22	10.95	7.45	0.79	57.4	14.07
0	5	B2P2	S	1.01	45.33	-0.23	10.95	7.45	0.8	57.47	13.97
0	6	B2P2	S	1.1	45.3	-0.2	10.94	7.45	0.8	57.5	13.91
0	7	B2P2	S	0.93	45.26	-0.23	10.95	7.46	0.81	57.5	13.86
0	8	B2P2	S	0.86	45.2	-0.22	10.95	7.47	0.81	57.5	13.82
0	9	B2P2	S	0.74	45.2	-0.23	10.96	7.48	0.8	57.5	13.83
0	10	B2P2	S	0.39	45.27	-0.25	10.97	7.49	0.78	57.5	13.89
0	11	B2P2	S	0.34	45.35	-0.25	10.99	7.52	0.77	57.5	13.95
0	12	B2P2	S	0.43	45.4	-0.25	11	7.52	0.75	57.5	13.98
0	13	B2P2	S	0.54	45.53	-0.27	11.03	7.56	0.74	57.5	14.12
0	14	B2P2	S	0.53	45.7	-0.25	11.05	7.57	0.73	57.48	14.27
0	15	B2P2	S	0.57	45.7	-0.27	11.06	7.59	0.72	57.4	14.29
0	16	B2P2	S	0.64	45.7	-0.24	11.1	7.63	0.73	57.4	14.34
0	17	B2P2	S	0.72	45.7	-0.23	11.12	7.66	0.74	57.4	14.3
0	18	B2P2	S	0.82	45.7	-0.25	11.15	7.71	0.76	57.4	14.28
0	19	B2P2	S	0.92	45.63	-0.24	11.17	7.75	0.77	57.4	14.23
1	20	B2P2	S	1.05	45.53	-0.22	11.16	7.74	0.79	57.4	14.13
1	21	B2P2	S	1.09	45.48	-0.22	11.16	7.74	0.8	57.47	14.09
1	22	B2P2	S	1.19	45.38	-0.21	11.15	7.71	0.81	57.5	14
1	23	B2P2	S	1.19	45.27	-0.21	11.12	7.67	0.83	57.5	13.9
1		B2P2	S	1.28	45.2	-0.15	11.12	7.67	0.82	57.5	13.87
1	0	B2P2	S	1.19	45.2	-0.2	11.09	7.64	0.83	57.5	13.83
1	1	B2P2	S	1.15	45.17	-0.2	11.06	7.6	0.85	57.5	13.76
1	2	B2P2	S	1.11	45.1	-0.21	11.03	7.54	0.88	57.5	13.7
1	3	B2P2	S	1.01	45.06	-0.22	11.01	7.51	0.91	57.5	13.65
1	4	B2P2	S	1	45	-0.23	10.98	7.49	0.91	57.52	13.61
1	5	B2P2	S	0.86	45	-0.24	10.95	7.46	0.91	57.6	13.58
1	6	B2P2	S	0.71	45	-0.25	10.93	7.46	0.9	57.6	13.55
1	7	B2P2	S	0.61	45	-0.23	10.94	7.47	0.88	57.6	13.55
1	8	B2P2	S	0.56	45	-0.24	10.96	7.49	0.86	57.6	13.58
1	9	B2P2	S	0.42	45.09	-0.24	10.97	7.5	0.85	57.6	13.63
1	10	B2P2	S	0.38	45.04	-0.26	11.11	7.63	0.85	57.45	13.68
1	11	B2P2	S	0.43	45.21	-0.26	11.05	7.56	0.81	57.5	13.79
1	12	B2P2	S	0.46	45.37	-0.25	11.08	7.58	0.78	57.5	13.95
1	13	B2P2	S	0.52	45.4	-0.24	11.1	7.6	0.78	57.5	14.01
1	14	B2P2	S	0.64	45.44	-0.24	11.12	7.62	0.77	57.5	14.03
1	15	B2P2	S	0.79	45.37	-0.22	11.14	7.66	0.81	57.5	13.97
1	16	B2P2	S	0.78	45.16	-0.24	11.12	7.62	0.84	57.42	13.8
1	17	B2P2	S	0.77	45.01	-0.22	11.08	7.57	0.85	57.4	13.67
1	18	B2P2	S	0.85	44.85	-0.24	11.03	7.51	0.87	57.4	13.54
1	19	B2P2	S	0.86	44.73	-0.22	11	7.48	0.88	57.4	13.42
2	20	B2P2	S	0.94	44.48	-0.22	10.97	7.43	0.89	57.39	13.21
2	21	B2P2	S	1.01	44.34	-0.19	10.92	7.39	0.9	57.4	13.1
2	22	B2P2	S	1.06	44.2	-0.21	10.87	7.34	0.91	57.4	12.96
2	23	B2P2	S	1.07	44.03	-0.2	10.82	7.3	0.92	57.4	12.79
2		B2P2	S	1.15	43.9	-0.15	10.8	7.27	0.93	57.4	12.71
2	0	B2P2	S	1.07	43.79	-0.22	10.78	7.25	0.93	57.4	12.59
2	1	B2P2	S	1.08	43.57	-0.2	10.74	7.2	0.95	57.4	12.4
2	2	B2P2	S	1.07	43.39	-0.2	10.72	7.17	0.96	57.4	12.24
2	3	B2P2	S	1.06	43.23	-0.2	10.7	7.15	0.97	57.4	12.1
2	4	B2P2	S	1.07	43.02	-0.21	10.7	7.14	0.99	57.3	11.93
2	5	B2P2	S	0.99	42.83	-0.2	10.7	7.13	1	57.3	11.79
2	6	B2P2	S	0.98	42.7	-0.2	10.71	7.12	1.01	57.3	11.67
2	7	B2P2	S	0.98	42.59	-0.21	10.73	7.12	1.01	57.3	11.58
2	8	B2P2	S	0.92	42.46	-0.2	10.76	7.13	1.02	57.23	11.48
2	9	B2P2	S	0.79	42.4	-0.18	10.8	7.14	1.02	57.2	11.45
2	10	B2P2	S	0.71	42.4	-0.21	10.84	7.15	1.01	57.2	11.45
2	11	B2P2	S	0.64	42.45	-0.23	10.86	7.17	1	57.2	11.48
2	12	B2P2	S	0.57	42.5	-0.21	10.91	7.18	1	57.2	11.51
2	13	B2P2	S	0.5	42.5	-0.22	10.95	7.2	0.98	57.2	11.55
2	14	B2P2	S	0.52	42.5	-0.23	11.01	7.22	0.98	57.11	11.59
2	15	B2P2	S	0.62	42.5	-0.22	11.06	7.24	0.98	57.1	11.61
2	16	B2P2	S	0.64	42.5	-0.2	11.1	7.26	0.98	57.1	11.63
2	17	B2P2	S	0.75	42.5	-0.22	11.13	7.28	0.98	57.1	11.62
2	18	B2P2	S	0.77	42.5	-0.2	11.18	7.3	0.98	57.1	11.63
2	19	B2P2	S	0.8	42.5	-0.2	11.21	7.32	0.98	57.1	11.62
3	20	B2P2	S	0.9	42.53	-0.22	11.26	7.35	0.98	57.1	11.62
3	21	B2P2	S	1.03	42.42	-0.19	11.27	7.36	1	57.1	11.55
3	22	B2P2	S	1.21	42.4	-0.17	11.27	7.36	1.01	57.1	11.49
3	23	B2P2	S	1.25	42.34	-0.15	11.27	7.36	1.01	57.1	11.46
3		B2P2	S	1.25	42.3	-0.13	11.26	7.36	1.01	57.1	11.45
3	0	B2P2	S	1.26	42.3	-0.14	11.26	7.35	1.01	57.1	11.43
3	1	B2P2	S	1.27	42.3	-0.16	11.23	7.34	1.02	57.2	11.38
3	2	B2P2	S	1.21	42.3	-0.17	11.21	7.32	1.03	57.2	11.34
3	3	B2P2	S	1.21	42.2	-0.15	11.2	7.31	1.04	57.2	11.3
3	4	B2P2	S	1.13	42.2	-0.18	11.17	7.3	1.04	57.2	11.26
3	5	B2P2	S	1.04	42.2	-0.2	11.15	7.29	1.04	57.25	11.23
3	6	B2P2	S	0.94	42.2	-0.19	11.14	7.28	1.04	57.3	11.21
3	7	B2P2	S	0.8	42.2	-0.21	11.15	7.29	1.03	57.3	11.21
3	8	B2P2	S	0.6	42.2	-0.2	11.16	7.29	1.02	57.3	11.22
3	9	B2P2	S	0.44	42.22	-0.22	11.18	7.3	1.02	57.3	11.24
3	10	B2P2	S	0.33	42.3	-0.24	11.2	7.31	1	57.28	11.31
3	11	B2P2	S	0.51	42.38	-0.22	11.26	7.33	0.97	57.2	11.42
3	12	B2P2	S	0.21	42.48	-0.23	11.28	7.34	0.95	57.2	11.52
3	13	B2P2	S	0.2	42.75	-0.25	11.31	7.35	0.91	57.2	11.77
3	14	B2P2	S	0.3	42.91	-0.24	11.32	7.36	0.88	57.2	11.89
3	15	B2P2	S	0.31	43.13	-0.24	11.35	7.39	0.86	57.2	12.12
3	16	B2P2	S	0.36	43.25	-0.24	11.38	7.41	0.84	57.2	12.23
3	17	B2P2	S	0.45	43.31	-0.23	11.41	7.43	0.83	57.2	12.29
3	18	B2P2	S	0.39	43.48	-0.24	11.48	7.49	0.82	57.1	12.48
3	19	B2P2	S	0.52	43.44	-0.24	11.51	7.52	0.83	57.1	12.46
4	20	B2P2	S	0.68	43.46	-0.22	11.48	7.5	0.83	57.1	12.47
4	21	B2P2	S	0.72	43.51	-0.23	11.51	7.52	0.81	57.11	12.56
4	22	B2P2	S	0.79	43.53	-0.21	11.53	7.56	0.83	57.12	12.55
4	23	B2P2	S	0.93	43.53	-0.19	11.57	7.63	0.84	57.2	12.59
4		B2P2	S	0.79	43.5	-0.31	11.49	7.52	0.83	57.2	12.46
4	0	B2P2	S	0.93	43.5	-0.21	11.48	7.5	0.83	57.2	12.49
4	1	B2P2	S	0.98	43.53	-0.21	11.49	7.5	0.83	57.2	12.55
4	2	B2P2	S	0.95	43.6	-0.2	11.48	7.49	0.83	57.2	12.55
4	3	B2P2	S	1.01	43.6	-0.21	11.43	7.45	0.83	57.2	12.54
4	4	B2P2	S	0.95	43.6	-0.23	11.44	7.46	0.84	57.2	12.52
4	5	B2P2	S	0.98	43.63	-0.21	11.41	7.43	0.84	57.2	12.59
4	6	B2P2	S	0.92	43.62	-0.23	11.41	7.44	0.85	57.2	12.58
4	7	B2P2	S	1.03	43.63	-0.22	11.35	7.43	0.84	57.2	12.55
4	8	B2P2	S	1.06	43.48	-0.18	11.35	7.45	0.84	57.19	12.46
4	9	B2P2	S	0.99	43.4	-0.22	11.35	7.44	0.84	57.1	12.43
4	10	B2P2	S	0.96	43.27	-0.24	11.35	7.44	0.86	57.1	12.34
4	11	B2P2	S	0.89	43.13	-0.22	11.34	7.43	0.9	57.1	12.2
4	12	B2P2	S	0.86	43.01	-0.24	11.33	7.41	0.92	57.1	12.09
4	13	B2P2	S	0.76	42.91	-0.21	11.34	7.41	0.93	57.1	12.03
4	14	B2P2	S	0.91	42.86	-0.21	11.34	7.41	0.94	57.1	11.97
4	15	B2P2	S	0.95	42.8	-0.21	11.34	7.41	0.95	57.1	11.92
4	16	B2P2	S	0.94	42.8	-0.21	11.34	7.41	0.96	57.1	11.9
4	17	B2P2	S	0.91	42.78	-0.21	11.35	7.42	0.96	57.1	11.88
4	18	B2P2	S	0.98	42.7	-0.2	11.35	7.41	0.97	57.1	11.82
4	19	B2P2	S	1.03	42.69	-0.21	11.35	7.41	0.98	57.1	11.79
5	20	B2P2	S	1.23	42.6	-0.18	11.34	7.4	0.99	57.1	11.75
5	21	B2P2	S	1.27	42.6	-0.18	11.33	7.39	0.99	57.1	11.75
5	22	B2P2	S	1.28	42.6	-0.16	11.32	7.38	0.98	57.01	11.73
5	23	B2P2	S	1.3	42.53	-0.16	11.3	7.37	0.99	57	11.72
5		B2P2	S	1.17	42.5	-0.31	11.29	7.36	0.99	57	11.71
5	0	B2P2	S	1.31	42.5	-0.16	11.28	7.35	1	57	11.7
5	1	B2P2	S	1.3	42.5	-0.15	11.24	7.33	1	57	11.68
5	2	B2P2	S	1.35	42.4	-0.16	11.22	7.3	1.03	57	11.66
0	20	B2P3	D	0.28	40.16	-1.39	10.29	7.27	-0.25	50.3	14.5
0	21	B2P3	D	0.32	40.32	-1.38	10.25	7.27	-0.25	50.3	14.65
0	22	B2P3	D	0.41	40.34	-1.37	10.18	7.26	-0.25	50.34	14.59
0	23	B2P3	D	0.35	40.2	-1.38	10.13	7.25	-0.24	50.4	14.4
0		B2P3	D	0.27	40.2	-1.36	10.1	7.23	-0.24	50.4	14.41
0	0	B2P3	D	0.36	40.16	-1.37	10.1	7.23	-0.24	50.4	14.35
0	1	B2P3	D	0.53	40.06	-1.36	10.11	7.23	-0.23	50.4	14.28
0	2	B2P3	D	0.51	39.98	-1.36	10.09	7.22	-0.23	50.4	14.18
0	3	B2P3	D	0.55	39.86	-1.35	10.09	7.2	-0.22	50.4	14.09
0	4	B2P3	D	0.55	39.8	-1.35	10.07	7.19	-0.22	50.4	14.01
0	5	B2P3	D	0.48	39.7	-1.36	10.07	7.18	-0.22	50.4	13.92
0	6	B2P3	D	0.52	39.66	-1.36	10.07	7.18	-0.21	50.4	13.87
0	7	B2P3	D	0.41	39.6	-1.35	10.08	7.19	-0.21	50.4	13.8
0	8	B2P3	D	0.37	39.6	-1.34	10.1	7.2	-0.21	50.4	13.78
0	9	B2P3	D	0.25	39.6	-1.37	10.11	7.21	-0.22	50.31	13.79
0	10	B2P3	D	0.04	39.6	-1.38	10.13	7.21	-0.22	50.3	13.85
0	11	B2P3	D	-0.03	39.67	-1.38	10.16	7.22	-0.23	50.3	13.95
0	12	B2P3	D	-0.01	39.83	-1.39	10.17	7.22	-0.23	50.3	14.12
0	13	B2P3	D	0.03	39.9	-1.39	10.18	7.23	-0.24	50.3	14.17
0	14	B2P3	D	0.08	40	-1.4	10.2	7.24	-0.24	50.3	14.29
0	15	B2P3	D	0.09	40	-1.39	10.2	7.25	-0.24	50.3	14.27
0	16	B2P3	D	0.14	40	-1.37	10.22	7.26	-0.24	50.3	14.28
0	17	B2P3	D	0.2	39.93	-1.38	10.22	7.26	-0.24	50.3	14.21
0	18	B2P3	D	0.26	39.9	-1.37	10.23	7.27	-0.23	50.3	14.17
0	19	B2P3	D	0.35	39.83	-1.36	10.24	7.28	-0.23	50.3	14.11
1	20	B2P3	D	0.38	39.78	-1.38	10.24	7.28	-0.23	50.3	14.04
1	21	B2P3	D	0.36	39.75	-1.36	10.24	7.28	-0.23	50.3	14.01
1	22	B2P3	D	0.44	39.67	-1.35	10.23	7.28	-0.22	50.3	13.92
1	23	B2P3	D	0.52	39.6	-1.33	10.22	7.27	-0.22	50.3	13.85
1		B2P3	D	0.55	39.6	-1.35	10.22	7.26	-0.2	50.3	13.82
1	0	B2P3	D	0.57	39.6	-1.33	10.21	7.26	-0.22	50.39	13.8
1	1	B2P3	D	0.63	39.56	-1.33	10.18	7.25	-0.21	50.4	13.76
1	2	B2P3	D	0.69	39.5	-1.33	10.16	7.24	-0.21	50.4	13.7
1	3	B2P3	D	0.55	39.46	-1.33	10.14	7.23	-0.2	50.4	13.66
1	4	B2P3	D	0.55	39.4	-1.33	10.12	7.22	-0.2	50.4	13.61
1	5	B2P3	D	0.44	39.4	-1.34	10.11	7.21	-0.2	50.4	13.58
1	6	B2P3	D	0.27	39.4	-1.35	10.11	7.21	-0.2	50.4	13.56
1	7	B2P3	D	0.15	39.4	-1.36	10.12	7.22	-0.2	50.4	13.56
1	8	B2P3	D	0.15	39.4	-1.36	10.13	7.22	-0.21	50.4	13.59
1	9	B2P3	D	0.03	39.45	-1.36	10.15	7.23	-0.21	50.4	13.65
1	10	B2P3	D	0	39.58	-1.39	10.18	7.24	-0.22	50.4	13.77
1	11	B2P3	D	0.02	39.6	-1.38	10.19	7.25	-0.22	50.4	13.83
1	12	B2P3	D	-0.01	39.67	-1.37	10.21	7.26	-0.23	50.4	13.87
1	13	B2P3	D	0.04	39.76	-1.37	10.23	7.27	-0.23	50.4	13.97
1	14	B2P3	D	0.12	39.8	-1.38	10.25	7.28	-0.23	50.4	13.99
1	15	B2P3	D	0.31	39.7	-1.36	10.24	7.27	-0.22	50.4	13.91
1	16	B2P3	D	0.34	39.6	-1.36	10.23	7.27	-0.22	50.38	13.82
1	17	B2P3	D	0.36	39.46	-1.36	10.23	7.26	-0.21	50.3	13.69
1	18	B2P3	D	0.42	39.28	-1.34	10.22	7.26	-0.2	50.3	13.54
1	19	B2P3	D	0.47	39.17	-1.31	10.21	7.25	-0.2	50.3	13.4
2	20	B2P3	D	0.53	38.97	-1.33	10.21	7.24	-0.19	50.29	13.21
2	21	B2P3	D	0.54	38.88	-1.32	10.18	7.23	-0.18	50.3	13.12
2	22	B2P3	D	0.52	38.71	-1.3	10.15	7.2	-0.17	50.3	12.95
2	23	B2P3	D	0.53	38.54	-1.3	10.13	7.16	-0.16	50.3	12.77
2		B2P3	D	0.57	38.5	-1.31	10.12	7.15	-0.16	50.3	12.69
