Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26
6/19/2024;15:47:55;0;greeenland;-0.05;7.09;0;-0.055;3.85;0.36;0;93.5;94.8;9.78;-0.078;0;0;1.39;1.39;0;4.17;147.7;13.334;-0.046;6.15;0
6/19/2024;15:47:57;0;greeenland;-0.06;7.05;0;-0.056;2.78;0;0;93.6;94.8;9.79;-0.079;0;0;1.41;1.41;0;4.82;110.5;13.323;-0.064;6.15;0
6/19/2024;15:47:59;0;greeenland;-0.05;7.06;0;-0.055;1.37;-0.47;0;93.6;94.9;9.8;-0.078;0;0;1.39;1.39;0;5.23;87.6;13.276;-0.046;6.15;0
6/19/2024;15:48:01;0;greeenland;-0.07;7.03;0;-0.055;1.08;-0.57;0;93.6;94.8;9.82;-0.079;0;0;1.41;1.41;0;5.47;73.9;13.181;-0.062;6.15;0
6/19/2024;15:48:03;0;greeenland;-0.06;7.06;0;-0.055;1.78;-0.33;0;93.8;95;9.85;-0.078;0;0;1.37;1.37;0;5.36;80.1;13.08;-0.048;6.15;0
6/19/2024;15:48:05;0;greeenland;0;7.22;0;-0.055;2.08;-0.23;0;93.9;95.1;9.89;-0.079;0;0;1.41;1.41;0;4.98;101.6;12.982;-0.064;6.15;0
6/19/2024;15:48:07;0;greeenland;0.01;7.27;0;-0.056;2.65;-0.04;0;94.2;95.4;9.94;-0.079;0;0;1.42;1.42;0;5.55;69.5;12.916;-0.053;6.15;0
6/19/2024;15:48:09;0;greeenland;0.05;7.37;0;-0.055;1.29;-0.5;0;94.6;95.8;9.99;-0.079;0;0;1.41;1.41;0;5.32;82.3;12.892;-0.055;6.15;0
6/19/2024;15:48:11;0;greeenland;0.02;7.3;0;-0.056;-0.13;-0.97;0;95;96.3;10.04;-0.079;0;0;1.42;1.42;0;5.27;85.2;12.889;-0.06;6.15;0
6/19/2024;15:48:13;0;greeenland;0.04;7.34;0;-0.055;-1.46;-1.41;0;95.5;96.8;10.08;-0.079;0;0;1.44;1.44;0;5.26;85.8;12.921;-0.05;6.15;0
6/19/2024;15:48:15;0;greeenland;0.02;7.28;0;-0.056;-2.64;-1.8;0;95.9;97.2;10.12;-0.079;0;0;1.43;1.43;0;4.2;145.6;12.992;-0.059;6.15;0
6/19/2024;15:48:17;0;greeenland;0.01;7.27;0;-0.056;-3;-1.93;0;96.3;97.6;10.14;-0.079;0;0;1.46;1.46;0;5.09;95.1;13.054;-0.052;6.15;0
6/19/2024;15:48:19;0;greeenland;-0.01;7.2;0;-0.056;-3;-1.93;0;96.6;97.9;10.16;-0.079;0;0;1.45;1.45;0;5.12;93.8;13.115;-0.055;6.15;0
6/19/2024;15:48:21;0;greeenland;-0.01;7.21;0;-0.055;-3.86;-2.21;0;96.8;98.1;10.17;-0.079;0;0;1.47;1.47;0;5.14;92.6;13.17;-0.053;6.13;0
6/19/2024;15:48:23;0;greeenland;0;7.23;0;-0.055;-4.92;-2.57;0;97;98.3;10.18;-0.079;0;0;1.48;1.48;0;5.15;91.9;13.222;-0.059;6.13;0
6/19/2024;15:48:25;0;greeenland;0.02;7.31;0;-0.055;-5.66;-2.81;0;97.2;98.5;10.18;-0.079;0;0;1.48;1.48;0;5.16;91.3;13.271;-0.053;6.13;0
6/19/2024;15:48:27;0;greeenland;0.03;7.31;0;-0.056;-6.72;-3.17;0;97.3;98.6;10.18;-0.079;0;0;1.5;1.5;0;5.17;90.8;13.317;-0.051;6.13;0
6/19/2024;15:48:29;0;greeenland;0.03;7.32;0;-0.055;-6.72;-3.17;0;97.4;98.7;10.19;-0.079;0;0;1.5;1.5;0;5.18;90.3;13.369;-0.058;6.13;0
6/19/2024;15:48:31;0;greeenland;0.04;7.35;0;-0.055;-6.33;-3.03;0;97.5;98.8;10.19;-0.079;0;0;1.47;1.47;0;5.19;90;13.413;-0.052;6.13;0
6/19/2024;15:48:33;0;greeenland;0.05;7.39;0;-0.055;-6.33;-3.04;0;97.6;98.9;10.18;-0.079;0;0;1.45;1.45;0;5.19;89.7;13.451;-0.055;6.13;0
6/19/2024;15:48:35;0;greeenland;0.01;7.27;0;-0.055;-6.49;-3.09;0;97.6;98.9;10.18;-0.079;0;0;1.46;1.46;0;5.2;89.4;13.482;-0.048;6.13;0
6/19/2024;15:48:37;0;greeenland;0.03;7.31;0;-0.055;-6.49;-3.09;0;97.6;98.9;10.17;-0.079;0;0;1.46;1.46;0;5.2;89.2;13.509;-0.057;6.13;0
6/19/2024;15:48:39;0;greeenland;-0.02;7.18;0;-0.055;-6.5;-3.09;0;97.6;98.9;10.17;-0.079;0;0;1.44;1.44;0;5.21;88.8;13.534;-0.052;6.13;0
6/19/2024;15:48:41;0;greeenland;-0.03;7.15;0;-0.055;-6.5;-3.09;0;97.6;98.9;10.16;-0.079;0;0;1.44;1.44;0;5.21;88.4;13.553;-0.057;6.13;0
6/19/2024;15:48:43;0;greeenland;-0.02;7.16;0;-0.055;-7.16;-3.31;0;97.6;98.9;10.16;-0.079;0;0;1.46;1.46;0;5.22;88.1;13.57;-0.056;6.13;0
6/19/2024;15:48:45;0;greeenland;-0.03;7.14;0;-0.055;-7.66;-3.48;0;97.7;99;10.16;-0.078;0;0;1.46;1.46;0;5.22;87.9;13.587;-0.051;6.13;0
6/19/2024;15:48:47;0;greeenland;-0.02;7.18;0;-0.055;-7.92;-3.57;0;97.7;99;10.16;-0.079;0;0;1.47;1.47;0;5.23;87.8;13.605;-0.061;6.13;0
6/19/2024;15:48:49;0;greeenland;0;7.24;0;-0.055;-7.92;-3.57;0;97.7;99;10.16;-0.078;0;0;1.47;1.47;0;5.23;87.6;13.623;-0.049;6.13;0
6/19/2024;15:48:51;0;greeenland;0.02;7.29;0;-0.055;-7.92;-3.57;0;97.8;99.1;10.16;-0.078;0;0;1.47;1.47;0;5.23;87.5;13.643;-0.056;6.13;0
6/19/2024;15:48:53;0;greeenland;0.03;7.31;0;-0.055;-7.88;-3.55;0;97.8;99.2;10.16;-0.078;0;0;1.47;1.47;0;5.23;87.5;13.667;-0.062;6.13;0
6/19/2024;15:48:55;0;greeenland;0.02;7.28;0;-0.055;-7.68;-3.48;0;97.9;99.2;10.16;-0.078;0;0;1.48;1.48;0;5.23;87.4;13.692;-0.056;6.13;0
6/19/2024;15:48:57;0;greeenland;0.02;7.29;0;-0.055;-7.55;-3.44;0;97.9;99.2;10.15;-0.078;0;0;1.45;1.45;0;5.23;87.4;13.715;-0.06;6.13;0
6/19/2024;15:48:59;0;greeenland;0.04;7.36;0;-0.055;-7.55;-3.44;0;97.8;99.2;10.14;-0.078;0;0;1.44;1.44;0;5.23;87.5;13.734;-0.047;6.13;0
6/19/2024;15:49:01;0;greeenland;0.05;7.38;0;-0.055;-7.55;-3.44;0;97.8;99.1;10.14;-0.078;0;0;1.43;1.43;0;5.23;87.5;13.745;-0.06;6.13;0
6/19/2024;15:49:03;0;greeenland;0.06;7.41;0;-0.055;-7.55;-3.44;0;97.8;99.1;10.13;-0.078;0;0;1.46;1.46;0;5.23;87.5;13.753;-0.047;6.13;0
6/19/2024;15:49:05;0;greeenland;0.06;7.43;0;-0.055;-7.55;-3.44;0;97.7;99;10.12;-0.078;0;0;1.47;1.47;0;5.23;87.4;13.759;-0.061;6.13;0
6/19/2024;15:49:07;0;greeenland;0.06;7.43;0;-0.055;-7.55;-3.44;0;97.7;99;10.12;-0.078;0;0;1.48;1.48;0;5.23;87.4;13.767;-0.057;6.13;0
6/19/2024;15:49:09;0;greeenland;0.08;7.49;0;-0.055;-7.55;-3.44;0;97.6;98.9;10.11;-0.078;0;0;1.48;1.48;0;5.23;87.5;13.769;-0.056;6.13;0
6/19/2024;15:49:11;0;greeenland;0.05;7.39;0;-0.055;-7.62;-3.47;0;97.6;98.9;10.11;-0.078;0;0;1.51;1.51;0;5.23;87.6;13.771;-0.056;6.13;0
6/19/2024;15:49:13;0;greeenland;0.06;7.42;0;-0.055;-7.88;-3.55;0;97.6;98.9;10.11;-0.079;0;0;1.5;1.5;0;5.23;87.6;13.776;-0.052;6.13;0
6/19/2024;15:49:15;0;greeenland;0.09;7.5;0;-0.055;-7.93;-3.57;0;97.7;99;10.11;-0.079;0;0;1.52;1.52;0;5.23;87.7;13.786;-0.058;6.13;0
6/19/2024;15:49:17;0;greeenland;0.09;7.52;0;-0.055;-7.93;-3.57;0;97.7;99;10.11;-0.079;0;0;1.54;1.54;0;5.23;87.8;13.794;-0.049;6.13;0
6/19/2024;15:49:19;0;greeenland;0.1;7.55;0;-0.055;-7.93;-3.57;0;97.7;99;10.11;-0.079;0;0;1.56;1.56;0;5.23;87.8;13.8;-0.057;6.13;0
6/19/2024;15:49:21;0;greeenland;0.08;7.49;0;-0.055;-7.93;-3.57;0;97.7;99;10.11;-0.079;0;0;1.55;1.55;0;5.23;87.9;13.809;-0.05;6.13;0
6/19/2024;15:49:23;0;greeenland;0.08;7.48;0;-0.056;-6.91;-3.23;0;97.7;99;10.11;-0.079;0;0;1.52;1.52;0;5.22;88;13.821;-0.057;6.13;0
6/19/2024;15:49:25;0;greeenland;0.04;7.34;0;-0.055;-5.46;-2.74;0;97.7;99;10.11;-0.079;0;0;1.5;1.5;0;5.22;88;13.829;-0.051;6.13;0
6/19/2024;15:49:27;0;greeenland;0.03;7.33;0;-0.056;-5.46;-2.74;0;97.7;99;10.11;-0.079;0;0;1.5;1.5;0;5.22;88.1;13.835;-0.059;6.13;0
6/19/2024;15:49:29;0;greeenland;0.04;7.34;0;-0.056;-4.67;-2.48;0;97.7;99;10.1;-0.079;0;0;1.48;1.48;0;5.22;88.2;13.845;-0.054;6.13;0
6/19/2024;15:49:31;0;greeenland;0.01;7.26;0;-0.056;-3.11;-1.96;0;97.7;99;10.1;-0.08;0;0;1.47;1.47;0;5.22;88.3;13.861;-0.06;6.12;0
6/19/2024;15:49:33;0;greeenland;0.04;7.34;0;-0.056;-1.58;-1.45;0;97.7;99;10.1;-0.079;0;0;1.48;1.48;0;5.22;88.4;13.871;-0.053;6.12;0
6/19/2024;15:49:35;0;greeenland;0.06;7.41;0;-0.056;-0.81;-1.19;0;97.7;99;10.1;-0.079;0;0;1.48;1.48;0;5.22;88.4;13.879;-0.052;6.12;0
6/19/2024;15:49:37;0;greeenland;0.05;7.4;0;-0.056;-0.81;-1.19;0;97.8;99.1;10.1;-0.079;0;0;1.49;1.49;0;5.22;88.5;13.89;-0.055;6.12;0
6/19/2024;15:49:39;0;greeenland;0.06;7.43;0;-0.056;-0.81;-1.19;0;97.9;99.2;10.11;-0.079;0;0;1.48;1.48;0;5.22;88.5;13.909;-0.056;6.12;0
6/19/2024;15:49:41;0;greeenland;0.07;7.45;0;-0.056;-0.84;-1.21;0;97.9;99.2;10.11;-0.079;0;0;1.47;1.47;0;5.21;88.6;13.923;-0.056;6.13;0
6/19/2024;15:49:43;0;greeenland;0.04;7.35;0;-0.056;-2.34;-1.7;0;98;99.3;10.11;-0.08;0;0;1.48;1.48;0;5.21;88.6;13.936;-0.058;6.13;0
6/19/2024;15:49:45;0;greeenland;0.02;7.3;0;-0.056;-3.7;-2.16;0;98;99.3;10.12;-0.08;0;0;1.46;1.46;0;5.21;88.5;13.947;-0.057;6.13;0
6/19/2024;15:49:47;0;greeenland;0.01;7.26;0;-0.056;-3.7;-2.16;0;98.1;99.4;10.12;-0.08;0;0;1.45;1.45;0;5.22;88.5;13.962;-0.063;6.13;0
6/19/2024;15:49:49;0;greeenland;0.01;7.27;0;-0.056;-4.6;-2.46;0;98.1;99.4;10.12;-0.08;0;0;1.43;1.43;0;5.22;88.4;13.973;-0.047;6.13;0
6/19/2024;15:49:51;0;greeenland;0.02;7.28;0;-0.056;-5.96;-2.91;0;98.1;99.4;10.11;-0.08;0;0;1.44;1.44;0;5.22;88.4;13.982;-0.061;6.13;0
6/19/2024;15:49:53;0;greeenland;0.01;7.25;0;-0.056;-7.47;-3.41;0;98;99.3;10.1;-0.08;0;0;1.43;1.43;0;5.22;88.4;13.985;-0.052;6.13;0
6/19/2024;15:49:55;0;greeenland;0.03;7.32;0;-0.056;-7.93;-3.57;0;97.9;99.2;10.1;-0.08;0;0;1.44;1.44;0;5.22;88.4;13.985;-0.056;6.13;0
6/19/2024;15:49:57;0;greeenland;0.01;7.27;0;-0.056;-7.93;-3.57;0;97.9;99.2;10.09;-0.08;0;0;1.47;1.47;0;5.22;88.5;13.981;-0.058;6.13;0
6/19/2024;15:49:59;0;greeenland;0.02;7.3;0;-0.057;-7.93;-3.57;0;97.8;99.1;10.09;-0.08;0;0;1.48;1.48;0;5.22;88.5;13.978;-0.056;6.13;0
6/19/2024;15:50:01;0;greeenland;0.01;7.25;0;-0.056;-7.93;-3.57;0;97.8;99.1;10.08;-0.08;0;0;1.48;1.48;0;5.21;88.6;13.973;-0.05;6.12;0
6/19/2024;15:50:03;0;greeenland;0.01;7.27;0;-0.057;-7.93;-3.57;0;97.8;99.1;10.09;-0.08;0;0;1.49;1.49;0;5.21;88.6;13.97;-0.055;6.12;0
6/19/2024;15:50:05;0;greeenland;0.02;7.3;0;-0.056;-7.93;-3.57;0;97.8;99.2;10.09;-0.08;0;0;1.49;1.49;0;5.21;88.6;13.972;-0.058;6.12;0
6/19/2024;15:50:07;0;greeenland;0.02;7.28;0;-0.056;-7.93;-3.57;0;97.9;99.2;10.1;-0.08;0;0;1.51;1.51;0;5.21;88.6;13.975;-0.05;6.12;0
6/19/2024;15:50:09;0;greeenland;0.03;7.33;0;-0.056;-7.93;-3.57;0;98;99.3;10.11;-0.08;0;0;1.5;1.5;0;5.21;88.6;13.982;-0.059;6.12;0
6/19/2024;15:50:11;0;greeenland;0.05;7.37;0;-0.056;-7.93;-3.57;0;98.1;99.4;10.11;-0.08;0;0;1.52;1.52;0;5.21;88.6;13.99;-0.053;6.13;0
6/19/2024;15:50:13;0;greeenland;0.03;7.32;0;-0.056;-7.9;-3.56;0;98.1;99.4;10.11;-0.08;0;0;1.52;1.52;0;5.21;88.6;13.998;-0.055;6.13;0
6/19/2024;15:50:15;0;greeenland;0.04;7.35;0;-0.057;-7.88;-3.55;0;98.1;99.4;10.11;-0.08;0;0;1.5;1.5;0;5.22;88.4;14.011;-0.055;6.13;0
6/19/2024;15:50:17;0;greeenland;0.03;7.33;0;-0.057;-7.88;-3.55;0;98.1;99.4;10.11;-0.081;0;0;1.52;1.52;0;5.22;88.4;14.023;-0.06;6.13;0
6/19/2024;15:50:19;0;greeenland;0.02;7.28;0;-0.057;-7.83;-3.54;0;98.1;99.4;10.11;-0.08;0;0;1.5;1.5;0;5.22;88.4;14.029;-0.052;6.13;0
6/19/2024;15:50:21;0;greeenland;0.01;7.26;0;-0.057;-7.83;-3.54;0;98.1;99.4;10.1;-0.081;0;0;1.53;1.53;0;5.22;88.4;14.037;-0.052;6.13;0
6/19/2024;15:50:23;0;greeenland;-0.01;7.19;0;-0.056;-7.83;-3.54;0;98.1;99.4;10.1;-0.08;0;0;1.53;1.53;0;5.22;88.5;14.044;-0.056;6.13;0
6/19/2024;15:50:25;0;greeenland;0.03;7.33;0;-0.056;-7.83;-3.54;0;98.1;99.4;10.1;-0.08;0;0;1.54;1.54;0;5.22;88.5;14.044;-0.053;6.13;0
6/19/2024;15:50:27;0;greeenland;0.05;7.4;0;-0.056;-7.83;-3.54;0;98.1;99.4;10.1;-0.08;0;0;1.55;1.55;0;5.21;88.6;14.045;-0.055;6.13;0
6/19/2024;15:50:29;0;greeenland;0.04;7.35;0;-0.056;-7.83;-3.54;0;98.1;99.4;10.1;-0.08;0;0;1.55;1.55;0;5.21;88.7;14.042;-0.059;6.13;0
6/19/2024;15:50:31;0;greeenland;0.04;7.36;0;-0.056;-7.92;-3.57;0;98.1;99.4;10.1;-0.08;0;0;1.52;1.52;0;5.21;88.8;14.048;-0.055;6.13;0
6/19/2024;15:50:33;0;greeenland;0.06;7.42;0;-0.056;-7.94;-3.57;0;98.1;99.4;10.1;-0.08;0;0;1.52;1.52;0;5.21;88.9;14.06;-0.059;6.13;0
6/19/2024;15:50:35;0;greeenland;0.04;7.35;0;-0.056;-7.94;-3.57;0;98.2;99.5;10.1;-0.079;0;0;1.5;1.5;0;5.21;88.9;14.076;-0.055;6.13;0
6/19/2024;15:50:37;0;greeenland;0.01;7.27;0;-0.056;-7.94;-3.57;0;98.2;99.6;10.11;-0.079;0;0;1.46;1.46;0;5.21;88.9;14.097;-0.063;6.13;0
6/19/2024;15:50:39;0;greeenland;-0.03;7.13;0;-0.056;-7.94;-3.57;0;98.3;99.6;10.1;-0.079;0;0;1.46;1.46;0;5.21;89;14.124;-0.049;6.13;0
6/19/2024;15:50:41;0;greeenland;-0.02;7.17;0;-0.056;-7.94;-3.57;0;98.3;99.6;10.1;-0.08;0;0;1.45;1.45;0;5.21;89;14.15;-0.061;6.13;0
6/19/2024;15:50:43;0;greeenland;-0.01;7.2;0;-0.056;-7.6;-3.46;0;98.3;99.6;10.09;-0.079;0;0;1.47;1.47;0;5.21;89.1;14.169;-0.05;6.13;0
6/19/2024;15:50:45;0;greeenland;-0.03;7.15;0;-0.056;-6.1;-2.96;0;98.2;99.5;10.09;-0.079;0;0;1.47;1.47;0;5.2;89.3;14.178;-0.056;6.13;0
6/19/2024;15:50:47;0;greeenland;-0.02;7.18;0;-0.056;-4.6;-2.46;0;98.1;99.5;10.08;-0.079;0;0;1.45;1.45;0;5.2;89.4;14.18;-0.058;6.13;0
6/19/2024;15:50:49;0;greeenland;-0.01;7.2;0;-0.056;-3.1;-1.96;0;98;99.3;10.06;-0.08;0;0;1.47;1.47;0;5.2;89.6;14.175;-0.057;6.13;0
6/19/2024;15:50:51;0;greeenland;0.01;7.26;0;-0.056;-1.56;-1.45;0;97.9;99.2;10.05;-0.08;0;0;1.49;1.49;0;5.2;89.6;14.165;-0.056;6.12;0
6/19/2024;15:50:53;0;greeenland;-0.01;7.21;0;-0.056;0.05;-0.91;0;97.8;99.1;10.05;-0.08;0;0;1.5;1.5;0;5.2;89.7;14.157;-0.05;6.12;0
6/19/2024;15:50:55;0;greeenland;-0.04;7.1;0;-0.056;1.56;-0.41;0;97.8;99.1;10.05;-0.079;0;0;1.51;1.51;0;5.19;89.8;14.153;-0.057;6.12;0
6/19/2024;15:50:57;0;greeenland;-0.05;7.07;0;-0.056;1.67;-0.37;0;97.9;99.2;10.05;-0.08;0;0;1.54;1.54;0;5.19;89.9;14.156;-0.051;6.12;0
6/19/2024;15:50:59;0;greeenland;-0.01;7.21;0;-0.056;1.76;-0.34;0;98;99.3;10.06;-0.08;0;0;1.58;1.58;0;5.19;90;14.167;-0.055;6.12;0
6/19/2024;15:51:01;0;greeenland;0;7.24;0;-0.056;3.25;0.16;0;98;99.3;10.06;-0.08;0;0;1.57;1.57;0;5.19;90.2;14.182;-0.053;6.13;0
6/19/2024;15:51:03;0;greeenland;0.03;7.33;0;-0.056;3.94;0.39;0;98.1;99.4;10.07;-0.08;0;0;1.55;1.55;0;5.19;90.3;14.203;-0.056;6.13;0
6/19/2024;15:51:05;0;greeenland;0.03;7.32;0;-0.056;3.92;0.38;0;98.2;99.5;10.07;-0.08;0;0;1.56;1.56;0;5.19;90.3;14.222;-0.05;6.13;0
6/19/2024;15:51:07;0;greeenland;0.04;7.34;0;-0.056;3.92;0.38;0;98.2;99.5;10.07;-0.08;0;0;1.53;1.53;0;5.19;90.2;14.239;-0.056;6.13;0
6/19/2024;15:51:09;0;greeenland;0.03;7.34;0;-0.056;3.95;0.39;0;98.2;99.5;10.06;-0.079;0;0;1.55;1.55;0;5.19;90.1;14.244;-0.052;6.13;0
6/19/2024;15:51:11;0;greeenland;0.01;7.27;0;-0.056;3.91;0.38;0;98.1;99.4;10.06;-0.08;0;0;1.55;1.55;0;5.19;90.2;14.236;-0.055;6.12;0
6/19/2024;15:51:13;0;greeenland;-0.01;7.2;0;-0.056;3.92;0.38;0;98.1;99.4;10.06;-0.079;0;0;1.53;1.53;0;5.19;90.2;14.232;-0.056;6.12;0
6/19/2024;15:51:15;0;greeenland;0.02;7.29;0;-0.056;3.92;0.38;0;98.1;99.4;10.06;-0.079;0;0;1.52;1.52;0;5.19;90.3;14.23;-0.058;6.12;0
6/19/2024;15:51:17;0;greeenland;0.02;7.3;0;-0.056;5.42;0.88;0;98.1;99.5;10.07;-0.079;0;0;1.52;1.52;0;5.19;90.3;14.228;-0.056;6.12;0
6/19/2024;15:51:19;0;greeenland;0;7.25;0;-0.056;6.37;1.2;0;98.2;99.5;10.07;-0.079;0;0;1.5;1.5;0;5.18;90.4;14.229;-0.057;6.12;0
6/19/2024;15:51:21;0;greeenland;0;7.25;0;-0.056;6.37;1.2;0;98.3;99.6;10.07;-0.079;0;0;1.51;1.51;0;5.18;90.4;14.238;-0.057;6.13;0
6/19/2024;15:51:23;0;greeenland;0.02;7.28;0;-0.056;6.35;1.19;0;98.4;99.7;10.08;-0.08;0;0;1.52;1.52;0;5.18;90.4;14.263;-0.06;6.13;0
6/19/2024;15:51:25;0;greeenland;0.02;7.29;0;-0.056;6.37;1.2;0;98.4;99.8;10.08;-0.08;0;0;1.53;1.53;0;5.19;90.3;14.289;-0.051;6.13;0
6/19/2024;15:51:27;0;greeenland;0.02;7.29;0;-0.056;6.38;1.2;0;98.5;99.8;10.08;-0.079;0;0;1.54;1.54;0;5.19;90.2;14.307;-0.059;6.13;0
6/19/2024;15:51:29;0;greeenland;0.01;7.25;0;-0.056;6.35;1.19;0;98.6;99.9;10.09;-0.079;0;0;1.52;1.52;0;5.19;90.1;14.323;-0.05;6.13;0
6/19/2024;15:51:31;0;greeenland;0.01;7.26;0;-0.056;6.36;1.2;0;98.6;99.9;10.09;-0.08;0;0;1.54;1.54;0;5.19;90.1;14.337;-0.063;6.12;0
6/19/2024;15:51:33;0;greeenland;0;7.24;0;-0.056;6.34;1.19;0;98.6;100;10.09;-0.079;0;0;1.54;1.54;0;5.19;89.9;14.346;-0.052;6.12;0
6/19/2024;15:51:35;0;greeenland;-0.02;7.16;0;-0.056;6.38;1.2;0;98.7;100;10.09;-0.08;0;0;1.53;1.53;0;5.21;88.8;14.358;-0.063;6.12;0
6/19/2024;15:51:37;0;greeenland;-0.03;7.14;0;-0.056;6.37;1.2;0;98.8;100.1;10.1;-0.08;0;0;1.54;1.54;0;5.21;89.1;14.373;-0.058;6.12;0
6/19/2024;15:51:39;0;greeenland;0.01;7.25;0;-0.056;6.39;1.2;0;98.8;100.1;10.1;-0.08;0;0;1.51;1.51;0;5.2;89.4;14.382;-0.058;6.12;0
6/19/2024;15:51:41;0;greeenland;0.02;7.3;0;-0.056;6.37;1.2;0;98.8;100.2;10.1;-0.08;0;0;1.51;1.51;0;5.2;89.8;14.391;-0.056;6.12;0
6/19/2024;15:51:43;0;greeenland;0.04;7.36;0;-0.056;6.39;1.2;0;98.9;100.2;10.1;-0.08;0;0;1.5;1.5;0;5.19;90;14.4;-0.052;6.12;0
6/19/2024;15:51:45;0;greeenland;0.05;7.39;0;-0.056;6.39;1.2;0;98.9;100.3;10.1;-0.08;0;0;1.46;1.46;0;5.19;90;14.42;-0.055;6.12;0
6/19/2024;15:51:47;0;greeenland;0.05;7.38;0;-0.056;6.38;1.2;0;99;100.3;10.1;-0.08;0;0;1.46;1.46;0;5.17;91.2;14.437;-0.049;6.12;0
6/19/2024;15:51:49;0;greeenland;0.04;7.36;0;-0.056;6.41;1.21;0;99;100.3;10.1;-0.08;0;0;1.48;1.48;0;5.17;91.3;14.444;-0.059;6.12;0
6/19/2024;15:51:51;0;greeenland;0.05;7.38;0;-0.056;6.36;1.19;0;99;100.3;10.1;-0.08;0;0;1.45;1.45;0;5.17;91.4;14.443;-0.05;6.12;0
6/19/2024;15:51:53;0;greeenland;0.03;7.31;0;-0.056;6.35;1.19;0;99;100.4;10.11;-0.08;0;0;1.44;1.44;0;5.18;90.9;14.455;-0.056;6.12;0
6/19/2024;15:51:55;0;greeenland;0.02;7.29;0;-0.056;6.33;1.18;0;99.1;100.4;10.11;-0.08;0;0;1.41;1.41;0;5.18;90.7;14.468;-0.051;6.12;0
6/19/2024;15:51:57;0;greeenland;0.03;7.34;0;-0.057;6.32;1.18;0;99.1;100.4;10.11;-0.08;0;0;1.4;1.4;0;5.18;90.9;14.465;-0.056;6.12;0
6/19/2024;15:51:59;0;greeenland;0.03;7.34;0;-0.056;6.33;1.18;0;99.1;100.4;10.11;-0.08;0;0;1.39;1.39;0;5.18;91;14.447;-0.056;6.12;0
6/19/2024;15:52:01;0;greeenland;0.02;7.3;0;-0.057;6.32;1.18;0;99.1;100.4;10.12;-0.08;0;0;1.38;1.38;0;5.17;91.1;14.428;-0.066;6.12;0
6/19/2024;15:52:03;0;greeenland;-0.01;7.21;0;-0.056;5.46;0.89;0;99.1;100.4;10.12;-0.08;0;0;1.42;1.42;0;5.17;91.1;14.42;-0.056;6.12;0
6/19/2024;15:52:05;0;greeenland;0.02;7.29;0;-0.057;3.95;0.39;0;99.2;100.5;10.13;-0.081;0;0;1.41;1.41;0;5.17;91.1;14.42;-0.057;6.12;0
6/19/2024;15:52:07;0;greeenland;0;7.22;0;-0.057;2.43;-0.12;0;99.2;100.5;10.13;-0.081;0;0;1.43;1.43;0;5.17;91.1;14.42;-0.059;6.12;0
