Time_seq,Hour,Pond,Treatment,Chlorophyll_RFU,Cond_uScm,BGAPC_RFU,ODO_mgL,pH,fDOM_RFU,SpCond_uScm,Temp_C
2,8,B1P1,S,0.57,39,-1.59,11.7,7.22,2.32,59.1,7.2
2,9,B1P1,S,0.49,38.97,-1.61,11.7,7.21,2.31,59.05,7.18
2,10,B1P1,S,0.41,38.9,-1.61,11.72,7.22,2.31,59,7.19
2,11,B1P1,S,0.51,38.9,-1.58,11.75,7.24,2.3,59,7.2
2,12,B1P1,S,0.38,38.9,-1.62,11.78,7.26,2.28,58.9,7.22
2,13,B1P1,S,0.47,38.9,-1.61,11.81,7.28,2.28,58.9,7.23
2,14,B1P1,S,0.4,38.9,-1.61,11.87,7.3,2.24,58.9,7.27
2,15,B1P1,S,0.37,39,-1.62,11.91,7.33,2.23,58.87,7.31
2,16,B1P1,S,0.53,39,-1.59,11.96,7.35,2.22,58.8,7.37
2,17,B1P1,S,0.59,39,-1.6,11.98,7.37,2.23,58.8,7.37
2,18,B1P1,S,0.8,39,-1.56,11.99,7.37,2.22,58.8,7.35
2,19,B1P1,S,0.82,39,-1.55,11.99,7.36,2.24,58.8,7.31
3,20,B1P1,S,0.75,38.92,-1.57,11.97,7.35,2.26,58.88,7.29
3,21,B1P1,S,0.81,38.9,-1.54,11.96,7.34,2.27,58.9,7.25
3,22,B1P1,S,0.76,38.9,-1.55,11.94,7.32,2.28,58.9,7.21
3,23,B1P1,S,0.76,38.83,-1.55,11.91,7.31,2.29,58.9,7.18
3,0,B1P1,S,0.78,38.8,-1.55,11.9,7.29,2.31,58.9,7.13
3,1,B1P1,S,0.75,38.8,-1.53,11.87,7.28,2.31,58.9,7.12
3,2,B1P1,S,0.76,38.8,-1.52,11.86,7.27,2.32,58.9,7.09
3,3,B1P1,S,0.8,38.72,-1.54,11.84,7.25,2.34,58.9,7.05
3,4,B1P1,S,0.72,38.7,-1.54,11.82,7.24,2.35,58.94,7.02
3,5,B1P1,S,0.56,38.7,-1.56,11.8,7.22,2.36,59,6.99
3,6,B1P1,S,0.66,38.63,-1.55,11.77,7.2,2.37,59,6.96
3,7,B1P1,S,0.61,38.6,-1.57,11.77,7.2,2.38,58.96,6.93
3,8,B1P1,S,0.47,38.6,-1.57,11.77,7.2,2.37,58.9,6.92
3,9,B1P1,S,0.54,38.6,-1.58,11.78,7.2,2.37,58.9,6.9
3,10,B1P1,S,0.25,38.6,-1.62,11.8,7.22,2.35,58.9,6.9
3,11,B1P1,S,0.11,38.6,-1.62,11.84,7.24,2.34,58.9,6.94
3,12,B1P1,S,-0.09,38.74,-1.67,11.87,7.25,2.3,58.9,7.1
3,13,B1P1,S,-0.06,38.9,-1.67,11.9,7.27,2.23,58.84,7.25
3,14,B1P1,S,0.21,39.08,-1.64,11.95,7.29,2.19,58.8,7.42
3,15,B1P1,S,0.07,39.24,-1.66,11.99,7.32,2.16,58.8,7.58
3,16,B1P1,S,0.21,39.39,-1.65,12.05,7.35,2.12,58.8,7.69
3,17,B1P1,S,0.44,39.4,-1.64,12.08,7.39,2.1,58.81,7.72
3,18,B1P1,S,0.67,39.4,-1.61,12.14,7.44,2.12,58.9,7.69
3,19,B1P1,S,0.61,39.38,-1.6,12.13,7.42,2.13,58.9,7.66
4,20,B1P1,S,0.49,39.29,-1.61,12.12,7.4,2.15,58.9,7.56
4,21,B1P1,S,0.53,39.2,-1.6,12.09,7.38,2.18,58.9,7.47
4,22,B1P1,S,0.63,39.1,-1.59,12.07,7.37,2.2,59,7.39
4,23,B1P1,S,0.74,39.03,-1.54,12.04,7.36,2.22,59,7.29
4,0,B1P1,S,0.74,38.99,-1.53,12.01,7.34,2.24,59,7.22
4,1,B1P1,S,0.61,38.91,-1.56,11.97,7.32,2.25,59,7.14
4,2,B1P1,S,0.71,38.8,-1.53,11.96,7.3,2.27,59,7.05
4,3,B1P1,S,0.75,38.71,-1.52,11.96,7.29,2.28,59,6.96
4,4,B1P1,S,0.67,38.62,-1.53,11.94,7.28,2.3,59.09,6.88
4,5,B1P1,S,0.68,38.53,-1.52,11.91,7.26,2.31,59.1,6.79
4,6,B1P1,S,0.71,38.42,-1.52,11.86,7.23,2.34,59.1,6.69
4,7,B1P1,S,0.58,38.3,-1.56,11.83,7.21,2.36,59.1,6.56
4,8,B1P1,S,0.22,38.3,-1.59,11.86,7.23,2.34,59.1,6.56
4,9,B1P1,S,0.32,38.23,-1.57,11.88,7.24,2.33,59.1,6.53
4,10,B1P1,S,0.01,38.2,-1.63,11.92,7.26,2.3,59.09,6.54
4,11,B1P1,S,-0.05,38.28,-1.62,11.96,7.29,2.26,59,6.59
4,12,B1P1,S,-0.05,38.4,-1.65,12,7.3,2.24,59,6.7
4,13,B1P1,S,0.05,38.5,-1.64,12.06,7.32,2.2,59,6.84
6,7,B1P1,S,0.66,37.99,-1.56,12.04,7.26,2.25,59,6.36
6,8,B1P1,S,0.6,37.96,-1.53,12.05,7.27,2.34,59,6.34
6,9,B1P1,S,0.54,37.99,-1.53,12.06,7.27,2.34,59,6.34
6,10,B1P1,S,0.52,37.92,-1.54,12.07,7.28,2.32,58.94,6.35
6,11,B1P1,S,0.35,37.9,-1.55,12.09,7.3,2.3,58.9,6.36
6,12,B1P1,S,0.45,37.96,-1.55,12.12,7.32,2.29,58.9,6.38
6,13,B1P1,S,0.32,38,-1.56,12.16,7.33,2.27,58.9,6.41
6,14,B1P1,S,0.26,38,-1.57,12.19,7.36,2.25,58.89,6.45
6,15,B1P1,S,0.07,38.04,-1.59,12.24,7.39,2.23,58.82,6.52
6,16,B1P1,S,0,38.1,-1.63,12.26,7.4,2.17,58.8,6.58
0,20,B1P4,NF,0.07,47.32,-0.38,12.15,7.88,2.66,72.68,6.73
0,21,B1P4,NF,0.11,47.01,-0.39,12.17,7.9,2.68,72.4,6.65
0,22,B1P4,NF,0.08,47.01,-0.38,12.14,7.88,2.7,72.59,6.55
0,23,B1P4,NF,0.1,47,-0.39,12.11,7.87,2.72,72.68,6.48
0,0,B1P4,NF,0.09,47.04,-0.37,12.1,7.87,2.76,72.89,6.44
0,1,B1P4,NF,0.06,47.08,-0.38,12.08,7.86,2.76,73,6.42
0,2,B1P4,NF,0.07,47,-0.38,12.08,7.86,2.77,73,6.39
0,3,B1P4,NF,0.08,47,-0.36,12.06,7.85,2.76,73,6.37
0,4,B1P4,NF,0.08,47,-0.37,12.05,7.84,2.78,73,6.34
0,5,B1P4,NF,0.08,46.97,-0.36,12.04,7.84,2.79,73,6.31
0,6,B1P4,NF,0.06,46.9,-0.38,12.01,7.82,2.79,73.01,6.29
0,7,B1P4,NF,0.07,46.9,-0.37,12.02,7.82,2.8,73.07,6.27
0,8,B1P4,NF,0.05,46.9,-0.37,12.02,7.82,2.8,73.1,6.26
0,9,B1P4,NF,-0.01,46.92,-0.4,12.01,7.81,2.77,73.1,6.27
0,10,B1P4,NF,-0.03,47.05,-0.39,11.99,7.8,2.7,73.1,6.35
0,11,B1P4,NF,-0.05,47.2,-0.39,12,7.81,2.68,73.09,6.46
0,12,B1P4,NF,0,47.27,-0.38,12.04,7.84,2.7,73.06,6.51
0,13,B1P4,NF,-0.04,47.53,-0.4,12.04,7.82,2.6,72.9,6.78
0,14,B1P4,NF,-0.03,47.85,-0.4,12.06,7.84,2.54,72.78,7.06
0,15,B1P4,NF,-0.02,47.91,-0.4,12.08,7.85,2.53,72.67,7.15
0,16,B1P4,NF,0.02,48.11,-0.41,12.11,7.87,2.52,72.71,7.29
0,17,B1P4,NF,0.02,48.31,-0.4,12.14,7.88,2.53,72.89,7.34
0,18,B1P4,NF,0.06,48.33,-0.4,12.15,7.9,2.54,72.9,7.36
0,19,B1P4,NF,0.07,48.4,-0.41,12.15,7.9,2.55,72.91,7.38
1,20,B1P4,NF,0.07,48.4,-0.39,12.14,7.89,2.55,72.98,7.38
1,21,B1P4,NF,0.07,48.4,-0.41,12.13,7.89,2.56,73.01,7.38
1,22,B1P4,NF,0.07,48.4,-0.4,12.12,7.89,2.58,73,7.36
1,23,B1P4,NF,0.07,48.31,-0.39,12.11,7.89,2.59,73.02,7.29
1,0,B1P4,NF,0.06,48.28,-0.4,12.1,7.89,2.61,73,7.25
1,1,B1P4,NF,0.07,48.17,-0.39,12.08,7.88,2.63,73.08,7.18
1,2,B1P4,NF,0.09,48.07,-0.38,12.04,7.87,2.65,73.1,7.1
1,3,B1P4,NF,0.09,48,-0.39,12.04,7.86,2.67,73.1,7.04
1,4,B1P4,NF,0.09,47.93,-0.39,12.04,7.86,2.67,73.11,6.97
1,5,B1P4,NF,0.07,47.88,-0.39,12.03,7.85,2.68,73.13,6.92
1,6,B1P4,NF,0.08,47.74,-0.39,11.99,7.84,2.71,73.1,6.82
1,7,B1P4,NF,0.09,47.63,-0.38,11.98,7.83,2.71,73.1,6.76
1,8,B1P4,NF,0.06,47.6,-0.38,11.93,7.81,2.73,73.18,6.71
1,9,B1P4,NF,0.05,47.45,-0.39,11.93,7.81,2.71,73.03,6.66
1,10,B1P4,NF,0.03,47.25,-0.39,11.93,7.8,2.69,72.86,6.6
1,11,B1P4,NF,0.03,47.33,-0.39,11.93,7.8,2.67,72.93,6.63
1,12,B1P4,NF,-0.01,47.46,-0.39,11.94,7.8,2.64,72.96,6.7
1,13,B1P4,NF,0.01,47.52,-0.4,11.97,7.81,2.62,72.89,6.78
1,14,B1P4,NF,-0.01,47.65,-0.4,11.98,7.81,2.56,72.76,6.93
1,15,B1P4,NF,0.01,47.79,-0.39,12.01,7.83,2.54,72.65,7.08
1,16,B1P4,NF,0.06,48.05,-0.4,12.03,7.85,2.53,72.81,7.19
1,17,B1P4,NF,0.1,48.24,-0.39,12.06,7.87,2.54,72.91,7.29
1,18,B1P4,NF,0.09,48.29,-0.4,12.09,7.89,2.56,72.9,7.33
1,19,B1P4,NF,0.12,48.3,-0.39,12.09,7.89,2.56,72.87,7.31
2,20,B1P4,NF,0.1,48.3,-0.4,12.08,7.88,2.56,72.8,7.38
2,21,B1P4,NF,0.09,48.26,-0.39,12.08,7.88,2.57,72.8,7.33
2,22,B1P4,NF,0.09,48.2,-0.4,12.08,7.88,2.59,72.82,7.31
2,23,B1P4,NF,0.08,48.2,-0.39,12.07,7.88,2.6,72.89,7.29
2,0,B1P4,NF,0.1,48.2,-0.39,12.05,7.88,2.6,72.9,7.27
2,1,B1P4,NF,0.11,48.18,-0.39,12.04,7.87,2.62,72.9,7.25
2,2,B1P4,NF,0.11,48.11,-0.38,12.03,7.87,2.62,72.9,7.21
2,3,B1P4,NF,0.12,48.1,-0.38,12.03,7.86,2.64,72.9,7.2
2,4,B1P4,NF,0.12,48.06,-0.39,12.01,7.85,2.62,72.8,7.17
2,5,B1P4,NF,0.11,47.96,-0.39,11.97,7.84,2.63,72.81,7.13
2,6,B1P4,NF,0.13,47.85,-0.38,11.95,7.83,2.64,72.74,7.08
2,7,B1P4,NF,0.14,47.8,-0.39,11.93,7.82,2.66,72.69,7.06
2,8,B1P4,NF,0.15,47.8,-0.38,11.91,7.8,2.66,72.72,7.04
2,9,B1P4,NF,0.08,47.8,-0.38,11.89,7.79,2.65,72.73,7.04
2,10,B1P4,NF,0.07,47.77,-0.39,11.86,7.78,2.64,72.7,7.03
2,11,B1P4,NF,0.14,47.67,-0.4,11.87,7.78,2.63,72.59,7.03
2,12,B1P4,NF,0.09,47.6,-0.39,11.88,7.78,2.62,72.49,7.03
2,13,B1P4,NF,0.1,47.64,-0.38,11.9,7.78,2.61,72.5,7.05
2,14,B1P4,NF,0.13,47.62,-0.38,11.91,7.78,2.62,72.46,7.05
2,15,B1P4,NF,0.08,47.77,-0.4,11.93,7.79,2.62,72.55,7.11
2,16,B1P4,NF,0.12,47.75,-0.38,11.95,7.8,2.6,72.45,7.15
2,17,B1P4,NF,0.17,47.65,-0.38,11.97,7.81,2.61,72.34,7.14
2,18,B1P4,NF,0.16,47.54,-0.37,11.97,7.81,2.62,72.24,7.09
2,19,B1P4,NF,0.21,47.37,-0.38,11.97,7.81,2.64,72.12,7.04
3,20,B1P4,NF,0.17,47.32,-0.37,11.96,7.81,2.66,72.15,6.99
3,21,B1P4,NF,0.2,47.4,-0.36,11.95,7.8,2.68,72.38,6.93
3,22,B1P4,NF,0.19,47.4,-0.36,11.94,7.79,2.68,72.48,6.89
3,23,B1P4,NF,0.19,47.4,-0.36,11.93,7.79,2.69,72.5,6.91
3,0,B1P4,NF,0.16,47.4,-0.38,11.91,7.78,2.7,72.51,6.88
3,1,B1P4,NF,0.13,47.4,-0.38,11.9,7.77,2.71,72.57,6.84
3,2,B1P4,NF,0.16,47.38,-0.37,11.88,7.77,2.71,72.6,6.81
3,3,B1P4,NF,0.14,47.3,-0.38,11.88,7.76,2.72,72.6,6.79
3,4,B1P4,NF,0.15,47.3,-0.37,11.85,7.75,2.72,72.6,6.75
3,5,B1P4,NF,0.18,47.22,-0.36,11.83,7.74,2.74,72.58,6.71
3,6,B1P4,NF,0.16,47.2,-0.38,11.82,7.73,2.74,72.67,6.67
3,7,B1P4,NF,0.13,47.2,-0.37,11.8,7.73,2.75,72.7,6.63
3,8,B1P4,NF,0.11,47.14,-0.38,11.79,7.72,2.75,72.7,6.6
3,9,B1P4,NF,0.14,47.1,-0.36,11.78,7.72,2.76,72.7,6.57
3,10,B1P4,NF,0.1,47.1,-0.37,11.78,7.72,2.75,72.7,6.58
3,11,B1P4,NF,0.06,47.14,-0.37,11.78,7.71,2.72,72.7,6.61
3,12,B1P4,NF,0.04,47.24,-0.38,11.8,7.72,2.67,72.69,6.68
3,13,B1P4,NF,0.11,47.4,-0.38,11.85,7.74,2.64,72.66,6.8
3,14,B1P4,NF,0.1,47.39,-0.38,11.87,7.74,2.64,72.63,6.81
3,15,B1P4,NF,0.04,47.55,-0.39,11.91,7.76,2.61,72.56,6.96
3,16,B1P4,NF,0.09,47.74,-0.38,11.94,7.77,2.55,72.44,7.15
3,17,B1P4,NF,0.11,47.79,-0.38,11.97,7.79,2.56,72.44,7.18
3,18,B1P4,NF,0.18,47.8,-0.39,11.99,7.8,2.57,72.46,7.16
3,19,B1P4,NF,0.18,47.79,-0.38,12.02,7.81,2.59,72.5,7.13
4,20,B1P4,NF,0.19,47.69,-0.37,12.03,7.82,2.61,72.5,7.08
4,21,B1P4,NF,0.2,47.59,-0.38,12.03,7.82,2.62,72.5,7.01
4,22,B1P4,NF,0.2,47.51,-0.37,12.01,7.82,2.65,72.53,6.92
4,23,B1P4,NF,0.17,47.37,-0.37,11.98,7.81,2.7,72.59,6.84
4,0,B1P4,NF,0.16,47.27,-0.35,11.98,7.81,2.7,72.6,6.74
4,1,B1P4,NF,0.18,47.17,-0.37,11.97,7.8,2.71,72.61,6.66
4,2,B1P4,NF,0.17,47.08,-0.36,11.94,7.79,2.71,72.69,6.56
4,3,B1P4,NF,0.14,46.93,-0.38,11.94,7.79,2.72,72.7,6.46
4,4,B1P4,NF,0.22,46.82,-0.36,11.94,7.78,2.74,72.69,6.37
4,5,B1P4,NF,0.2,46.59,-0.36,11.91,7.77,2.76,72.61,6.23
4,6,B1P4,NF,0.18,46.54,-0.36,11.9,7.76,2.77,72.78,6.12
4,7,B1P4,NF,0.19,46.45,-0.35,11.87,7.73,2.78,72.85,6.02
4,8,B1P4,NF,0.14,46.33,-0.36,11.85,7.72,2.8,72.82,5.95
4,9,B1P4,NF,0.1,46.3,-0.36,11.87,7.73,2.77,72.86,5.93
4,10,B1P4,NF,0.02,46.34,-0.36,11.89,7.74,2.75,72.89,5.95
4,11,B1P4,NF,0.02,46.41,-0.36,11.91,7.75,2.74,72.88,6
4,12,B1P4,NF,0,46.47,-0.38,11.92,7.75,2.69,72.81,6.06
4,13,B1P4,NF,0.01,46.69,-0.38,11.98,7.76,2.63,72.76,6.23
4,14,B1P4,NF,0.04,46.9,-0.37,12.01,7.77,2.59,72.77,6.39
4,15,B1P4,NF,0.08,46.99,-0.38,12.05,7.78,2.58,72.72,6.48
4,16,B1P4,NF,0.12,47.03,-0.37,12.07,7.79,2.59,72.75,6.5
4,17,B1P4,NF,0.15,47,-0.36,12.12,7.81,2.58,72.76,6.52
4,18,B1P4,NF,0.17,47,-0.37,12.15,7.82,2.6,72.63,6.55
4,19,B1P4,NF,0.2,47,-0.37,12.15,7.83,2.62,72.7,6.48
5,20,B1P4,NF,0.18,46.87,-0.37,12.16,7.84,2.64,72.7,6.39
5,21,B1P4,NF,0.2,46.76,-0.36,12.17,7.84,2.66,72.7,6.32
5,22,B1P4,NF,0.24,46.69,-0.34,12.16,7.84,2.68,72.7,6.25
5,23,B1P4,NF,0.2,46.6,-0.35,12.15,7.83,2.69,72.77,6.2
5,0,B1P4,NF,0.2,46.57,-0.35,12.13,7.83,2.72,72.8,6.15
5,1,B1P4,NF,0.19,46.5,-0.35,12.12,7.82,2.74,72.8,6.09
5,2,B1P4,NF,0.18,46.5,-0.35,12.1,7.82,2.75,72.82,6.05
5,3,B1P4,NF,0.17,46.42,-0.35,12.08,7.81,2.76,72.88,6
5,4,B1P4,NF,0.19,46.4,-0.36,12.07,7.81,2.76,72.9,5.97
5,5,B1P4,NF,0.2,46.4,-0.35,12.06,7.8,2.76,72.9,5.93
5,6,B1P4,NF,0.19,46.36,-0.35,12.05,7.8,2.77,72.92,5.91
5,7,B1P4,NF,0.2,46.3,-0.34,12.04,7.79,2.78,72.96,5.88
5,8,B1P4,NF,0.15,46.3,-0.36,12.02,7.78,2.77,73,5.86
5,9,B1P4,NF,0.12,46.3,-0.36,12.03,7.78,2.76,73,5.86
5,10,B1P4,NF,0.09,46.33,-0.36,12.03,7.78,2.73,72.92,5.9
5,11,B1P4,NF,0.09,46.4,-0.35,12.05,7.79,2.72,72.9,5.94
5,12,B1P4,NF,0.11,46.4,-0.37,12.04,7.79,2.7,72.9,5.97
5,13,B1P4,NF,0.12,46.48,-0.37,12.08,7.8,2.69,72.9,6.04
5,14,B1P4,NF,0.12,46.59,-0.36,12.09,7.8,2.68,72.9,6.11
5,15,B1P4,NF,0.15,46.6,-0.36,12.11,7.8,2.68,72.9,6.14
5,16,B1P4,NF,0.16,46.58,-0.35,12.09,7.81,2.7,72.9,6.07
5,17,B1P4,NF,0.17,46.59,-0.35,12.12,7.82,2.69,72.84,6.13
5,18,B1P4,NF,0.28,46.41,-0.35,12.14,7.81,2.69,72.59,6.12
5,19,B1P4,NF,0.26,46.38,-0.35,12.16,7.83,2.71,72.55,6.1
6,20,B1P4,NF,0.3,46.28,-0.35,12.18,7.84,2.72,72.41,6.1
6,21,B1P4,NF,0.24,46.3,-0.35,12.17,7.84,2.72,72.5,6.09
6,22,B1P4,NF,0.29,46.3,-0.34,12.16,7.83,2.73,72.58,6.08
6,23,B1P4,NF,0.23,46.3,-0.35,12.15,7.82,2.73,72.59,6.06
6,0,B1P4,NF,0.27,46.3,-0.34,12.12,7.81,2.75,72.6,6.04
6,1,B1P4,NF,0.22,46.3,-0.36,12.11,7.8,2.75,72.6,6.04
6,2,B1P4,NF,0.23,46.3,-0.35,12.11,7.8,2.76,72.56,6.04
6,3,B1P4,NF,0.3,46.23,-0.35,12.09,7.79,2.78,72.61,6.01
6,4,B1P4,NF,0.27,46.2,-0.34,12.07,7.78,2.78,72.6,6
6,5,B1P4,NF,0.27,46.2,-0.33,12.05,7.77,2.79,72.6,5.98
6,6,B1P4,NF,0.22,46.2,-0.36,12.03,7.76,2.79,72.6,5.95
6,7,B1P4,NF,0.26,46.16,-0.35,12.02,7.76,2.8,72.61,5.91
6,8,B1P4,NF,0.26,46.1,-0.34,12.01,7.75,2.79,72.72,5.86
6,9,B1P4,NF,0.23,46.1,-0.35,12,7.74,2.79,72.68,5.84
6,10,B1P4,NF,0.22,46.1,-0.34,11.99,7.74,2.79,72.55,5.85
6,11,B1P4,NF,0.15,46.1,-0.35,11.99,7.74,2.77,72.6,5.89
6,12,B1P4,NF,0.18,46.1,-0.36,12.01,7.74,2.78,72.6,5.87
6,13,B1P4,NF,0.18,46.1,-0.36,12.05,7.75,2.76,72.54,5.93
6,14,B1P4,NF,0.13,46.13,-0.36,12.06,7.75,2.73,72.53,5.95
6,15,B1P4,NF,0.09,46.22,-0.37,12.09,7.76,2.71,72.53,6.01
6,16,B1P4,NF,0.09,46.29,-0.36,12.11,7.77,2.69,72.46,6.09
6,17,B1P4,NF,0.17,46.42,-0.36,12.15,7.78,2.66,72.33,6.24
6,18,B1P4,NF,0.24,46.51,-0.36,12.19,7.8,2.66,72.5,6.25
6,19,B1P4,NF,0.23,46.5,-0.36,12.2,7.8,2.67,72.5,6.23
7,20,B1P4,NF,0.21,46.44,-0.35,12.2,7.81,2.7,72.5,6.18
7,21,B1P4,NF,0.24,46.32,-0.35,12.21,7.81,2.73,72.5,6.09
7,22,B1P4,NF,0.25,46.23,-0.34,12.21,7.81,2.75,72.5,6.05
7,23,B1P4,NF,0.27,46.14,-0.34,12.2,7.81,2.75,72.5,5.96
7,0,B1P4,NF,0.28,45.99,-0.35,12.19,7.8,2.76,72.5,5.86
7,1,B1P4,NF,0.24,45.91,-0.34,12.17,7.79,2.78,72.6,5.75
7,2,B1P4,NF,0.23,45.8,-0.34,12.16,7.78,2.8,72.61,5.67
0,20,B2P2,S,0.83,37.58,-1.04,11.87,7.38,4.93,57.41,6.89
0,21,B2P2,S,0.95,37.5,-1.04,11.88,7.37,4.97,57.38,6.85
0,22,B2P2,S,0.98,37.44,-1.01,11.88,7.38,4.99,57.4,6.8
0,23,B2P2,S,0.95,37.4,-1,11.87,7.38,5,57.4,6.77
0,0,B2P2,S,1.03,37.4,-0.99,11.85,7.36,5.03,57.4,6.74
0,1,B2P2,S,1,37.4,-1,11.84,7.35,5.03,57.4,6.72
0,2,B2P2,S,1.03,37.4,-0.99,11.84,7.35,5.04,57.4,6.71
0,3,B2P2,S,1,37.4,-1,11.81,7.33,5.04,57.49,6.69
0,4,B2P2,S,1.07,37.4,-0.98,11.78,7.31,5.05,57.5,6.66
0,5,B2P2,S,1.07,37.37,-0.96,11.74,7.28,5.05,57.5,6.65
0,6,B2P2,S,1.1,37.3,-0.99,11.74,7.28,5.05,57.5,6.61
0,7,B2P2,S,0.76,37.3,-1.09,11.74,7.28,5.07,57.5,6.61
0,8,B2P2,S,0.54,37.3,-1.14,11.74,7.28,5.06,57.5,6.61
