Time_seq,Pond,Treatment,Chlorophyll_RFU,Chlorophyll_ugL,Cond_uScm,BGAPC_RFU,BGAPC_ugL,ODO_sat,ODO_mgL,pH,fDOM_RFU,SpCond_uScm,Temp_C
7,B2P2,S,1.12,4.81,36.47,-0.96,-0.96,97.79,12.14,7.3,4.83,57.08,6.11
0,B2P3,D,2.56,9.06,35.93,-0.88,-0.88,96.21,11.7,6.89,2.12,54.79,6.94
1,B2P3,D,2.66,9.38,35.81,-0.87,-0.87,96.41,11.69,6.88,2.07,54.49,7.03
2,B2P3,D,2.74,9.62,35.53,-0.87,-0.87,96.51,11.71,6.87,2.07,54.1,7.02
3,B2P3,D,2.5,8.86,35.13,-0.88,-0.88,95.98,11.72,6.83,2.11,53.92,6.77
4,B2P3,D,2.42,8.6,34.8,-0.87,-0.87,95.85,11.79,6.84,2.11,53.88,6.47
5,B2P3,D,2.69,9.47,34.6,-0.84,-0.84,96.04,11.87,6.86,2.09,53.78,6.3
6,B2P3,D,2.42,8.6,34.3,-0.87,-0.87,96.13,11.9,6.84,2.12,53.51,6.22
7,B2P3,D,3.32,11.47,34.14,-0.75,-0.75,96.41,11.98,6.85,2.14,53.47,6.07
0,B2P4,NF,0.3,1.25,40.19,-0.22,-0.22,92.39,10.89,6.62,3.88,59.15,8.19
1,B2P4,NF,0.34,1.39,39.77,-0.21,-0.21,92.85,10.96,6.62,3.83,58.66,8.13
2,B2P4,NF,0.34,1.37,39.28,-0.22,-0.22,92.88,11.01,6.61,3.86,58.16,7.98
3,B2P4,NF,0.33,1.36,38.96,-0.21,-0.21,93.05,11.08,6.59,3.88,57.99,7.8
4,B2P4,NF,0.31,1.29,38.63,-0.21,-0.21,93.01,11.14,6.59,3.88,57.97,7.53
5,B2P4,NF,0.34,1.37,38.32,-0.2,-0.19,93.01,11.2,6.59,3.88,57.88,7.31
6,B2P4,NF,0.33,1.35,38.03,-0.2,-0.2,93.1,11.26,6.58,3.91,57.67,7.16
7,B2P4,NF,0.38,1.52,37.82,-0.17,-0.17,93.2,11.31,6.58,3.93,57.65,7
0,B3P0,NF,-0.13,0.67,48.23,-0.27,-0.45,89.77,10.87,6.58,1.66,73.27,7.11
1,B3P0,NF,-0.12,0.69,48.07,-0.27,-0.44,90.16,10.91,6.58,1.64,73.02,7.11
2,B3P0,NF,-0.12,0.72,47.79,-0.27,-0.44,90.57,10.95,6.56,1.63,72.48,7.16
3,B3P0,NF,-0.11,0.73,47.24,-0.27,-0.45,90.7,11.07,6.56,1.65,72.35,6.81
4,B3P0,NF,-0.13,0.67,47.02,-0.28,-0.45,90.95,11.15,6.56,1.63,72.47,6.61
5,B3P0,NF,-0.12,0.71,46.7,-0.27,-0.45,91.05,11.22,6.56,1.62,72.46,6.39
6,B3P0,NF,-0.12,0.72,46.31,-0.27,-0.44,91.36,11.29,6.54,1.64,72.05,6.3
7,B3P0,NF,-0.09,0.81,46.01,-0.26,-0.44,91.86,11.41,6.55,1.65,72.04,6.07
0,B3P1,D,0.83,3.82,52.47,-0.49,-0.49,103.39,12.76,7.06,8.86,81.54,6.32
1,B3P1,D,0.91,4.08,52.84,-0.49,-0.49,102.62,12.59,7.04,8.73,81.54,6.57
2,B3P1,D,1.03,4.47,52.64,-0.48,-0.48,102.17,12.48,7,8.63,80.81,6.75
3,B3P1,D,1.03,4.46,51.92,-0.48,-0.48,99.96,12.31,6.94,8.71,80.45,6.43
4,B3P1,D,0.93,4.15,51.68,-0.48,-0.48,100.35,12.41,6.94,8.63,80.52,6.25
5,B3P1,D,1.09,4.68,51.21,-0.47,-0.47,100.58,12.53,6.96,8.65,80.45,5.97
6,B3P1,D,1.11,4.74,50.62,-0.47,-0.47,100.68,12.55,6.94,8.61,79.6,5.94
7,B3P1,D,1.34,5.48,50.33,-0.43,-0.43,101.43,12.69,6.95,8.64,79.47,5.8
0,B3P2,D,0.62,2.69,47.41,-0.7,-0.69,95.35,11.71,6.81,7,73.18,6.52
1,B3P2,D,0.67,2.85,47.45,-0.7,-0.7,95.24,11.67,6.78,6.9,73.08,6.64
2,B3P2,D,0.72,3,47.24,-0.7,-0.69,95.7,11.68,6.76,6.8,72.39,6.78
3,B3P2,D,0.7,2.95,46.57,-0.69,-0.69,94.7,11.65,6.73,6.76,72.05,6.48
4,B3P2,D,0.62,2.69,46.18,-0.69,-0.69,95.07,11.76,6.75,6.65,71.98,6.24
5,B3P2,D,0.74,3.07,45.9,-0.67,-0.67,95.28,11.84,6.77,6.61,71.96,6.05
6,B3P2,D,0.7,2.93,45.63,-0.67,-0.67,95.45,11.87,6.77,6.57,71.59,6.02
7,B3P2,D,0.84,3.41,45.39,-0.65,-0.65,96.13,12,6.79,6.55,71.49,5.89
0,B3P3,S,0.33,2.56,33.99,-0.32,-0.71,97.33,11.89,7.15,3.67,52.21,6.74
1,B3P3,S,0.39,2.73,34.08,-0.32,-0.71,97.09,11.84,7.12,3.62,52.2,6.84
2,B3P3,S,0.46,2.97,34.01,-0.3,-0.69,97.41,11.85,7.1,3.6,51.96,6.92
3,B3P3,S,0.43,2.86,33.65,-0.3,-0.69,96.41,11.82,7.05,3.68,51.86,6.61
4,B3P3,S,0.42,2.85,33.4,-0.3,-0.69,96.67,11.93,7.06,3.64,51.89,6.34
5,B3P3,S,0.52,3.15,33.17,-0.28,-0.67,97.05,12.06,7.1,3.63,51.95,6.09
6,B3P3,S,0.51,3.12,32.93,-0.28,-0.67,96.82,12.06,7.07,3.69,51.74,5.98
7,B3P3,S,0.66,3.6,32.75,-0.25,-0.64,97.42,12.18,7.1,3.67,51.7,5.82
0,ERL122,NF,0.21,1.45,78.48,-0.8,-0.8,93.2,11.34,7.02,10.85,119.94,6.89
1,ERL122,NF,0.23,1.54,79,-0.8,-0.79,93.52,11.31,7,10.78,119.99,7.11
2,ERL122,NF,0.25,1.6,79.14,-0.8,-0.8,93.31,11.25,6.96,10.72,119.64,7.27
3,ERL122,NF,0.26,1.65,78.52,-0.79,-0.79,92.82,11.25,6.96,10.75,119.54,7.03
4,ERL122,NF,0.26,1.65,78.1,-0.77,-0.77,92.79,11.32,6.96,10.69,119.7,6.8
5,ERL122,NF,0.29,1.74,77.77,-0.76,-0.76,92.89,11.38,6.97,10.66,119.81,6.63
6,ERL122,NF,0.3,1.8,77.26,-0.74,-0.74,91.95,11.3,6.94,10.68,119.51,6.48
7,ERL122,NF,0.38,2.05,77.04,-0.71,-0.71,92.39,11.39,6.95,10.68,119.54,6.39
0,ERL152,NF,0.13,0.45,92.13,-0.18,-0.17,96.89,11.68,8.08,3.38,139.16,7.29
1,ERL152,NF,0.14,0.48,92.83,-0.17,-0.17,97.65,11.69,8.07,3.35,139.16,7.57
2,ERL152,NF,0.15,0.5,92.96,-0.17,-0.17,97.43,11.62,8.04,3.29,138.75,7.71
3,ERL152,NF,0.15,0.49,92.82,-0.17,-0.17,95.83,11.43,7.94,3.42,138.52,7.72
4,ERL152,NF,0.14,0.46,92.35,-0.17,-0.17,95.01,11.41,7.93,3.39,138.97,7.44
5,ERL152,NF,0.14,0.47,91.8,-0.17,-0.17,95.05,11.48,7.94,3.39,139.16,7.19
6,ERL152,NF,0.16,0.52,91.49,-0.18,-0.18,94.14,11.4,7.9,3.45,139.09,7.08
7,ERL152,NF,0.18,0.59,91.16,-0.18,-0.18,94.09,11.43,7.89,3.46,139.05,6.97
0,ERL85,NF,0.01,0.93,104.33,0.13,0.13,88.81,10.49,8.51,2.07,154.04,8.1
1,ERL85,NF,0.01,0.92,104.6,0.12,0.12,89.79,10.59,8.53,1.99,154.07,8.16
2,ERL85,NF,0.02,0.96,104.39,0.12,0.12,90.32,10.65,8.54,1.97,153.81,8.18
3,ERL85,NF,0.01,0.93,104.09,0.12,0.12,89.81,10.61,8.51,2.01,153.73,8.08
4,ERL85,NF,0,0.91,103.56,0.12,0.12,90.26,10.72,8.53,1.98,154,7.86
5,ERL85,NF,0.01,0.93,102.83,0.14,0.14,90.87,10.87,8.57,2.01,154.01,7.6
6,ERL85,NF,0.01,0.92,102.39,0.14,0.14,90.46,10.84,8.55,2.04,153.83,7.5
7,ERL85,NF,0.04,1.01,101.84,0.16,0.16,90.96,10.95,8.58,2.06,153.82,7.31
