Time_seq,Hour,Ten_min,Pond,Treatment,Chlorophyll_RFU,Chlorophyll_ugL,Cond_uScm,BGAPC_RFU,BGAPC_ugL,ODO_sat,ODO_mgL,pH,fDOM_RFU,SpCond_uScm,Temp_C
0,7,4,B1P1,S,0.51,3.08,38.5,-1.56,-1.56,94.5,11.59,7.25,2.47,59.4,6.6
0,7,5,B1P1,S,0.42,2.79,38.5,-1.58,-1.58,94.48,11.59,7.24,2.44,59.4,6.59
0,8,0,B1P1,S,0.5,3.05,38.5,-1.54,-1.54,94.55,11.59,7.25,2.43,59.4,6.6
0,8,1,B1P1,S,0.36,2.61,38.5,-1.59,-1.59,94.6,11.6,7.25,2.49,59.4,6.6
0,8,2,B1P1,S,0.39,2.72,38.5,-1.6,-1.6,94.6,11.6,7.25,2.42,59.4,6.6
0,8,3,B1P1,S,0.12,1.87,38.5,-1.6,-1.6,94.57,11.6,7.25,2.45,59.4,6.6
0,8,4,B1P1,S,0.3,2.43,38.5,-1.59,-1.59,94.65,11.6,7.25,2.42,59.4,6.6
0,8,5,B1P1,S,0.36,2.6,38.5,-1.54,-1.54,94.7,11.61,7.25,2.43,59.4,6.6
0,9,0,B1P1,S,0.22,2.18,38.5,-1.6,-1.6,94.7,11.61,7.26,2.41,59.4,6.6
0,9,1,B1P1,S,0.18,2.04,38.5,-1.59,-1.59,94.67,11.61,7.25,2.4,59.4,6.61
0,9,2,B1P1,S,0.24,2.24,38.5,-1.59,-1.59,94.68,11.61,7.25,2.43,59.4,6.61
0,9,3,B1P1,S,0.22,2.17,38.5,-1.58,-1.58,94.8,11.62,7.26,2.42,59.4,6.61
0,9,4,B1P1,S,0.11,1.8,38.5,-1.56,-1.56,94.92,11.64,7.26,2.42,59.4,6.61
0,9,5,B1P1,S,0.18,2.06,38.5,-1.59,-1.59,95.02,11.65,7.26,2.41,59.4,6.61
0,10,0,B1P1,S,0.03,1.59,38.55,-1.62,-1.62,95.07,11.65,7.27,2.37,59.4,6.62
0,10,1,B1P1,S,-0.03,1.4,38.6,-1.62,-1.62,95.13,11.65,7.27,2.44,59.4,6.64
0,10,2,B1P1,S,0.04,1.62,38.6,-1.64,-1.64,95.2,11.65,7.27,2.36,59.4,6.67
0,10,3,B1P1,S,0.05,1.62,38.6,-1.62,-1.62,95.25,11.66,7.27,2.38,59.4,6.68
0,10,4,B1P1,S,0.08,1.74,38.6,-1.58,-1.58,95.3,11.66,7.27,2.37,59.4,6.69
0,10,5,B1P1,S,-0.05,1.33,38.6,-1.64,-1.64,95.36,11.67,7.27,2.38,59.4,6.69
0,11,0,B1P1,S,-0.07,1.25,38.62,-1.64,-1.64,95.55,11.68,7.28,2.38,59.4,6.72
0,11,1,B1P1,S,0.06,1.67,38.6,-1.6,-1.6,95.7,11.69,7.28,2.35,,6.73
0,11,2,B1P1,S,-0.06,1.28,38.67,-1.64,-1.64,95.73,11.69,7.28,2.34,59.4,6.75
0,11,3,B1P1,S,-0.08,1.23,38.68,-1.61,-1.61,95.78,11.7,7.29,2.36,59.32,6.75
0,11,4,B1P1,S,-0.05,1.32,38.7,-1.67,-1.67,96.08,11.72,7.29,2.35,59.35,6.79
0,11,5,B1P1,S,-0.1,1.17,38.7,-1.65,-1.65,96.07,11.73,7.3,2.35,59.32,6.78
0,12,0,B1P1,S,-0.04,1.35,38.7,-1.63,-1.63,95.9,11.71,7.31,2.32,59.3,6.76
0,12,1,B1P1,S,-0.1,1.19,38.7,-1.67,-1.67,95.95,11.71,7.31,2.3,59.3,6.76
0,12,2,B1P1,S,-0.16,1,38.78,-1.68,-1.68,96.26,11.73,7.32,2.28,59.3,6.86
0,12,3,B1P1,S,-0.15,1.01,38.9,-1.67,-1.67,96.67,11.73,7.31,2.37,59.3,7.03
0,12,4,B1P1,S,-0.14,1.03,39.05,-1.67,-1.67,97.08,11.73,7.3,2.24,59.3,7.15
0,12,5,B1P1,S,-0.12,1.12,39.13,-1.7,-1.7,97.22,11.73,7.3,2.24,59.3,7.22
0,13,0,B1P1,S,-0.07,1.25,39.12,-1.69,-1.69,97.2,11.74,7.3,2.25,59.3,7.21
0,13,1,B1P1,S,-0.09,1.2,39.1,-1.68,-1.68,97.13,11.74,7.3,2.26,59.3,7.18
0,13,2,B1P1,S,-0.12,1.1,39.1,-1.68,-1.68,97.28,11.75,7.31,2.24,59.3,7.19
0,13,3,B1P1,S,-0.11,1.14,39.1,-1.67,-1.67,97.22,11.74,7.31,2.23,59.3,7.21
0,13,4,B1P1,S,-0.1,1.16,39.2,-1.71,-1.71,97.43,11.75,7.31,2.2,59.3,7.25
0,13,5,B1P1,S,-0.06,1.29,39.2,-1.68,-1.68,97.46,11.76,7.31,2.21,59.3,7.26
0,14,0,B1P1,S,-0.13,1.06,39.2,-1.71,-1.71,97.53,11.76,7.32,2.21,59.2,7.27
0,14,1,B1P1,S,-0.14,1.03,39.2,-1.67,-1.67,97.6,11.77,7.32,2.22,59.27,7.28
0,14,2,B1P1,S,-0.07,1.26,39.2,-1.65,-1.65,97.65,11.77,7.32,2.2,59.28,7.27
0,14,3,B1P1,S,-0.08,1.23,39.25,-1.69,-1.69,97.88,11.79,7.33,2.2,59.2,7.33
0,14,4,B1P1,S,0.18,2.04,39.3,-1.64,-1.64,98.22,11.81,7.34,2.2,59.2,7.38
0,14,5,B1P1,S,-0.06,1.29,39.4,-1.73,-1.73,98.53,11.82,7.34,2.19,59.23,7.49
0,15,0,B1P1,S,-0.06,1.31,39.38,-1.69,-1.69,98.55,11.83,7.34,2.2,59.2,7.45
0,15,1,B1P1,S,0.11,1.8,39.45,-1.69,-1.69,98.7,11.84,7.34,2.17,59.2,7.5
0,15,2,B1P1,S,0.15,1.95,39.5,-1.65,-1.65,98.7,11.83,7.34,2.17,59.2,7.52
0,15,3,B1P1,S,0.23,2.2,39.5,-1.66,-1.66,98.82,11.84,7.34,2.18,59.24,7.53
0,15,4,B1P1,S,0.25,2.26,39.42,-1.64,-1.64,98.78,11.85,7.36,2.18,59.3,7.49
0,15,5,B1P1,S,0.34,2.54,39.5,-1.61,-1.61,98.87,11.85,7.36,2.17,59.3,7.51
0,16,0,B1P1,S,0.26,2.3,39.5,-1.6,-1.6,99,11.86,7.36,2.16,59.3,7.54
0,16,1,B1P1,S,0.28,2.35,39.5,-1.64,-1.64,99,11.86,7.36,2.17,59.3,7.53
0,16,2,B1P1,S,0.54,3.16,39.5,-1.62,-1.62,99.03,11.87,7.37,2.18,59.3,7.5
0,16,3,B1P1,S,0.35,2.56,39.5,-1.65,-1.65,99.17,11.87,7.38,2.18,59.3,7.56
0,16,4,B1P1,S,0.36,2.6,39.5,-1.67,-1.67,99.22,11.87,7.37,2.15,59.3,7.58
0,16,5,B1P1,S,0.3,3.04,39.5,-1.64,-1.64,99.18,11.86,7.37,2.16,59.3,7.6
0,17,0,B1P1,S,0.28,2.35,39.5,-1.65,-1.65,99.28,11.89,7.38,2.18,59.3,7.55
0,17,1,B1P1,S,0.32,2.47,39.5,-1.62,-1.62,99.4,11.9,7.39,2.17,59.3,7.56
0,17,2,B1P1,S,0.39,2.7,39.5,-1.63,-1.63,99.42,11.9,7.39,2.22,59.3,7.57
0,17,3,B1P1,S,0.36,2.6,39.5,-1.65,-1.65,99.5,11.91,7.39,2.14,59.3,7.59
0,17,4,B1P1,S,0.47,2.93,,-1.65,-1.65,99.5,11.9,7.39,2.16,59.3,7.6
0,17,5,B1P1,S,0.6,3.38,39.6,-1.61,-1.61,99.53,11.9,7.39,2.16,59.3,7.6
0,18,0,B1P1,S,0.49,3.01,39.6,-1.63,-1.63,99.58,11.91,7.4,2.2,59.3,7.59
0,18,1,B1P1,S,0.32,2.5,39.6,-1.65,-1.65,99.57,11.91,7.4,2.2,59.3,7.57
0,18,2,B1P1,S,0.53,3.13,,-1.63,-1.63,99.6,11.92,7.41,2.18,59.3,7.55
0,18,3,B1P1,S,0.5,3.04,,-1.56,-1.56,99.63,11.93,7.42,2.2,59.3,7.53
0,18,4,B1P1,S,0.82,4.06,,-1.57,-1.57,99.67,11.93,7.42,2.17,59.3,7.54
0,18,5,B1P1,S,0.53,3.15,39.6,-1.63,-1.63,99.65,11.93,7.42,2.2,59.3,7.56
0,19,0,B1P1,S,0.88,4.26,39.6,-1.57,-1.57,99.65,11.93,7.41,2.12,59.3,7.57
0,19,1,B1P1,S,0.44,2.85,39.6,-1.65,-1.65,99.63,11.93,7.41,2.18,59.3,7.57
0,19,2,B1P1,S,0.7,3.66,39.6,-1.62,-1.62,99.6,11.92,7.41,2.23,59.3,7.57
0,19,3,B1P1,S,0.63,3.46,39.6,-1.6,-1.6,99.65,11.93,7.41,2.19,59.3,7.57
0,19,4,B1P1,S,0.74,3.79,39.6,-1.56,-1.56,99.67,11.93,7.41,2.18,59.3,7.57
0,19,5,B1P1,S,0.71,3.7,39.5,-1.61,-1.61,99.66,11.93,7.4,2.2,59.3,7.57
1,20,0,B1P1,S,0.67,3.6,39.5,-1.62,-1.62,99.67,11.93,7.41,2.2,59.3,7.56
1,20,1,B1P1,S,0.54,3.19,,-1.59,-1.59,99.67,11.93,7.4,2.2,59.3,7.56
1,20,2,B1P1,S,0.51,3.08,,-1.62,-1.62,99.65,11.93,7.4,2.21,59.3,7.56
1,20,3,B1P1,S,0.66,3.56,39.5,-1.61,-1.61,99.55,11.93,7.4,2.2,59.3,7.53
1,20,4,B1P1,S,0.68,3.6,39.5,-1.58,-1.58,99.53,11.93,7.41,2.22,59.4,7.5
1,20,5,B1P1,S,0.7,3.68,39.5,-1.6,-1.6,99.55,11.93,7.41,2.23,59.4,7.5
1,21,0,B1P1,S,0.62,3.44,39.5,-1.6,-1.6,99.5,11.93,7.4,2.21,59.4,7.5
1,21,1,B1P1,S,0.8,4,39.5,-1.59,-1.59,99.43,11.92,7.4,2.22,59.4,7.51
1,21,2,B1P1,S,0.59,3.32,39.5,-1.59,-1.59,99.44,11.92,7.39,2.22,59.4,7.5
1,21,3,B1P1,S,0.75,3.84,39.5,-1.55,-1.55,99.3,11.91,7.38,2.21,59.4,7.5
1,21,4,B1P1,S,0.71,3.71,39.5,-1.57,-1.57,99.3,11.91,7.38,2.21,59.4,7.5
1,21,5,B1P1,S,0.46,2.93,39.5,-1.6,-1.6,99.25,11.9,7.38,2.22,59.4,7.49
1,22,0,B1P1,S,0.66,3.53,39.5,-1.58,-1.58,99.25,11.9,7.38,2.23,59.4,7.49
1,22,1,B1P1,S,0.69,3.63,39.5,-1.59,-1.45,99.22,11.9,7.38,2.22,59.4,7.49
1,22,2,B1P1,S,0.54,3.18,39.5,-1.58,-1.58,99.15,11.89,7.38,2.22,59.4,7.48
1,22,3,B1P1,S,0.56,3.24,39.5,-1.61,-1.61,98.98,11.87,7.38,2.22,59.4,7.48
1,22,4,B1P1,S,0.58,3.29,39.5,-1.58,-1.58,98.85,11.86,7.36,2.23,59.4,7.47
1,22,5,B1P1,S,0.65,3.52,39.5,-1.59,-1.59,98.8,11.86,7.37,2.23,59.4,7.46
1,23,0,B1P1,S,0.8,4,39.5,-1.57,-1.57,98.87,11.86,7.37,2.24,59.4,7.47
1,23,1,B1P1,S,0.45,2.88,39.5,-1.66,-1.66,98.97,11.88,7.37,2.23,59.4,7.46
1,23,2,B1P1,S,0.54,3.18,39.5,-1.6,-1.6,98.93,11.87,7.36,2.25,59.4,7.46
1,23,3,B1P1,S,0.58,3.29,39.5,-1.58,-1.58,98.83,11.87,7.36,2.23,59.4,7.44
1,23,4,B1P1,S,0.67,3.58,39.47,-1.57,-1.57,98.87,11.87,7.36,2.23,59.4,7.44
1,23,5,B1P1,S,0.54,3.17,39.4,-1.6,-1.6,98.83,11.87,7.36,2.23,59.4,7.43
1,0,0,B1P1,S,0.53,3.14,39.4,-1.61,-1.52,98.73,11.86,7.35,2.24,59.4,7.42
1,0,1,B1P1,S,0.62,3.42,39.4,-1.59,-1.59,98.67,11.86,7.35,2.22,59.4,7.41
1,0,2,B1P1,S,0.33,2.52,39.4,-1.59,-1.59,98.68,11.86,7.35,2.23,59.4,7.4
1,0,3,B1P1,S,0.54,3.17,39.4,-1.59,-1.59,98.55,11.85,7.34,2.26,59.4,7.39
1,0,4,B1P1,S,0.48,2.97,39.4,-1.64,-1.64,98.43,11.84,7.34,2.26,59.4,7.37
1,0,5,B1P1,S,0.75,3.83,39.4,-1.58,-1.58,98.4,11.84,7.34,2.26,59.4,7.37
1,1,0,B1P1,S,0.47,2.95,39.4,-1.62,-1.62,98.4,11.84,7.34,2.26,59.4,7.36
1,1,1,B1P1,S,0.58,3.31,39.4,-1.57,-1.57,98.35,11.83,7.34,2.28,59.4,7.35
1,1,2,B1P1,S,0.62,3.42,39.4,-1.57,-1.57,98.25,11.83,7.33,2.31,59.4,7.34
1,1,3,B1P1,S,0.6,3.35,39.32,-1.56,-1.56,98.3,11.83,7.33,2.27,59.4,7.34
1,1,4,B1P1,S,0.69,3.65,39.3,-1.55,-1.55,98.2,11.82,7.33,2.25,59.4,7.33
1,1,5,B1P1,S,0.67,3.57,39.3,-1.54,-1.54,98.1,11.82,7.33,2.27,59.4,7.31
1,2,0,B1P1,S,0.5,3.04,39.3,-1.62,-1.62,98.03,11.81,7.33,2.27,59.4,7.3
1,2,1,B1P1,S,0.58,3.32,39.3,-1.58,-1.58,98.07,11.81,7.32,2.29,59.4,7.3
1,2,2,B1P1,S,0.73,3.79,39.3,-1.58,-1.51,97.98,11.8,7.32,2.27,59.4,7.29
1,2,3,B1P1,S,0.56,3.25,39.3,-1.56,-1.56,97.97,11.8,7.32,2.28,59.4,7.28
1,2,4,B1P1,S,0.42,2.8,39.3,-1.62,-1.62,97.88,11.8,7.32,2.28,59.4,7.27
1,2,5,B1P1,S,0.45,2.88,39.3,-1.6,-1.6,97.9,11.8,7.32,2.28,59.4,7.27
1,3,0,B1P1,S,0.78,3.92,39.3,-1.54,-1.47,97.82,11.8,7.32,2.3,59.4,7.26
1,3,1,B1P1,S,0.48,2.98,39.3,-1.57,-1.57,97.72,11.79,7.32,2.29,59.4,7.25
1,3,2,B1P1,S,0.45,2.9,39.3,-1.59,-1.59,97.64,11.78,7.31,2.3,59.4,7.24
1,3,3,B1P1,S,0.62,3.41,39.27,-1.58,-1.58,97.58,11.78,7.31,2.29,59.4,7.24
1,3,4,B1P1,S,0.55,3.2,39.2,-1.56,-1.56,97.47,11.77,7.3,2.29,59.4,7.22
1,3,5,B1P1,S,0.7,3.69,39.2,-1.56,-1.5,97.48,11.77,7.3,2.3,59.4,7.22
1,4,0,B1P1,S,0.81,4.03,39.2,-1.54,-1.54,97.45,11.77,7.3,2.31,59.4,7.21
1,4,1,B1P1,S,0.55,3.19,39.2,-1.54,-1.54,97.4,11.76,7.3,2.29,59.4,7.21
1,4,2,B1P1,S,0.64,3.49,39.2,-1.6,-1.6,97.4,11.76,7.3,2.29,59.4,7.2
1,4,3,B1P1,S,0.72,3.73,39.2,-1.57,-1.57,97.32,11.76,7.29,2.3,59.4,7.18
1,4,4,B1P1,S,0.64,3.46,39.2,-1.59,-1.59,97.3,11.76,7.29,2.3,59.4,7.18
1,4,5,B1P1,S,0.5,3.07,39.2,-1.62,-1.62,97.22,11.75,7.29,2.3,59.4,7.17
1,5,0,B1P1,S,0.63,3.47,39.2,-1.56,-1.56,97.2,11.75,7.29,2.33,59.4,7.17
1,5,1,B1P1,S,0.51,3.09,39.18,-1.6,-1.6,97.17,11.75,7.29,2.3,59.4,7.15
1,5,2,B1P1,S,0.54,3.16,39.1,-1.57,-1.57,97.17,11.75,7.29,2.31,59.4,7.14
1,5,3,B1P1,S,0.54,3.17,39.1,-1.58,-1.44,97.07,11.75,7.28,2.32,59.4,7.13
1,5,4,B1P1,S,0.52,3.09,39.1,-1.59,-1.59,97.02,11.74,7.28,2.32,59.4,7.13
1,5,5,B1P1,S,0.59,3.33,39.1,-1.54,-1.54,96.97,11.73,7.28,2.32,59.4,7.12
1,6,0,B1P1,S,0.67,3.57,39.1,-1.56,-1.56,96.93,11.73,7.27,2.33,59.4,7.12
1,6,1,B1P1,S,0.47,2.96,39.1,-1.57,-1.57,96.93,11.73,7.27,2.31,59.4,7.12
1,6,2,B1P1,S,0.66,3.56,39.1,-1.56,-1.56,96.86,11.73,7.26,2.34,59.4,7.11
1,6,3,B1P1,S,0.54,3.19,39.1,-1.56,-1.56,96.8,11.72,7.26,2.34,59.4,7.1
1,6,4,B1P1,S,0.5,3.03,39.1,-1.56,-1.56,96.67,11.71,7.26,2.33,59.4,7.09
1,6,5,B1P1,S,0.7,3.67,39.1,-1.55,-1.55,96.75,11.72,7.26,2.36,59.4,7.09
1,7,0,B1P1,S,0.43,2.83,39.1,-1.52,-1.52,96.72,11.71,7.26,2.34,59.4,7.08
1,7,1,B1P1,S,0.75,3.84,39.05,-1.57,-1.57,96.72,11.72,7.26,2.35,59.4,7.07
1,7,2,B1P1,S,0.55,3.2,39,-1.59,-1.59,96.72,11.72,7.26,2.38,59.4,7.07
1,7,3,B1P1,S,0.71,3.71,39,-1.55,-1.55,96.62,11.71,7.26,2.34,59.4,7.06
1,7,4,B1P1,S,0.78,3.9,39,-1.56,-1.56,96.43,11.69,7.24,2.42,59.4,7.05
1,7,5,B1P1,S,0.46,2.93,39,-1.59,-1.59,96.54,11.7,7.24,2.34,59.4,7.05
1,8,0,B1P1,S,0.44,2.87,39,-1.6,-1.6,96.47,11.7,7.25,2.35,59.4,7.05
1,8,1,B1P1,S,0.64,3.48,39,-1.57,-1.57,96.38,11.68,7.24,2.34,59.4,7.04
1,8,2,B1P1,S,0.5,3.06,39,-1.55,-1.55,96.32,11.68,7.23,2.36,59.4,7.04
1,8,3,B1P1,S,0.42,2.8,39,-1.59,-1.59,96.28,11.68,7.23,2.34,59.4,7.02
1,8,4,B1P1,S,0.43,2.82,39,-1.62,-1.62,96.18,11.67,7.23,2.35,59.4,7.01
1,8,5,B1P1,S,0.56,3.23,39,-1.58,-1.58,96.28,11.68,7.23,2.36,59.4,7
1,9,0,B1P1,S,0.43,2.82,39,-1.58,-1.58,96.1,11.67,7.23,2.34,59.4,7
1,9,1,B1P1,S,0.56,3.24,38.9,-1.54,-1.54,95.97,11.65,7.22,2.35,59.4,6.99
1,9,2,B1P1,S,0.55,3.19,38.9,-1.57,-1.57,96.06,11.66,7.22,2.33,59.4,6.99
1,9,3,B1P1,S,0.22,2.16,38.9,-1.62,-1.62,96.17,11.68,7.23,2.4,59.4,6.99
1,9,4,B1P1,S,0.49,3.01,38.9,-1.61,-1.61,96.07,11.67,7.23,2.36,59.3,6.98
1,9,5,B1P1,S,0.56,3.24,38.9,-1.57,-1.57,96.27,11.69,7.24,2.33,59.3,6.97
1,10,0,B1P1,S,0.57,3.28,38.9,-1.56,-1.56,96.3,11.69,7.24,2.33,59.3,6.98
1,10,1,B1P1,S,0.33,2.53,38.9,-1.58,-1.58,96.32,11.7,7.25,2.37,59.3,6.98
1,10,2,B1P1,S,0.2,2.13,38.9,-1.64,-1.64,96.38,11.7,7.25,2.32,59.3,6.99
1,10,3,B1P1,S,0.14,1.92,38.9,-1.62,-1.62,96.42,11.71,7.25,2.36,59.3,6.99
1,10,4,B1P1,S,0.17,2.01,38.9,-1.63,-1.63,96.5,11.71,7.25,2.33,59.3,7
1,10,5,B1P1,S,0.24,2.23,38.9,-1.61,-1.61,96.52,11.71,7.26,2.33,59.3,7.01
